"control_id","control_name","low_baseline","moderate_baseline","high_baseline","ot_discussion","enhancement_discussion"
"RA-7","Risk Response","RA-7","RA-7","RA-7","",""
"RA-9","Criticality Analysis","","RA-9","RA-9","",""
"SA-1","Policy and Procedures","SA-1","SA-1","SA-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"SA-2","Allocation of Resources","SA-2","SA-2","SA-2","",""
"SA-3","System Development Life Cycle","SA-3","SA-3","SA-3","",""
"SA-4","Acquisition Process","SA-4 (10) (12)","SA-4 (1) (2) (9) (10) (12)","SA-4 (1) (2) (5) (9) (10) (12)","Organizations engage with OT suppliers to raise awareness of cybersecurity needs. The [SCADA/Control Systems Procurement Project](https://www.cisa.gov/uscert/ics/Recommended-Practices) provides example cybersecurity procurement language for OT.","The use of approved PIV products is only required for organizations that follow OMB Memorandum M-19-17 (e.g., federal agencies and contractors). Example compensating controls include employing external products on the FIPS 201-approved products list for PIV capabilities in conjunction with OT products."
"SA-5","System Documentation","SA-5","SA-5","SA-5","",""
"SA-8","Security and Privacy Engineering Principles","SA-8","SA-8","SA-8","",""
"SA-9","External System Services","SA-9","SA-9 (2)","SA-9 (2)","",""
"SA-10","Developer Configuration Management","","SA-10","SA-10","Personnel with knowledge about security and privacy requirements are included in the change management process for the developer.",""
"SA-11","Developer Testing and Evaluation","","SA-11","SA-11","",""
"SA-15","Development Process, Standards, and Tools","","SA-15 (3)","SA-15 (3)","",""
"SA-16","Developer-Provided Training","","","SA-16","",""
"SA-17","Developer Security Architecture and Design","","","SA-17","",""
"SA-21","Developer Screening","","","SA-21","",""
"SA-22","Unsupported System Components","SA-22","SA-22","SA-22","OT systems may contain system components that are no longer supported by the developer, vendor, or manufacturer and have not been replaced due to various operational, safety, availability, or lifetime constraints. Organizations identify alternative methods to continue supported operation of such system components and consider additional compensating controls to mitigate against known threats and vulnerabilities to unsupported system components.",""
"SC-1","Policy and Procedures","SC-1","SC-1","SC-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"SC-2","Separation of System and User Functionality","","SC-2","SC-2","Physical separation includes using separate systems for managing the OT and for operating OT components. Logical separation includes the use of different user accounts for administrative and operator privileges. Example compensating controls include providing increased auditing measures.",""
"SC-3","Security Function Isolation CONTROL NAME","INITIAL CONTROL BASELINES LOW","MOD","SC-3 HIGH","Organizations consider implementing this control when designing new architectures or updating existing components. An example compensating control includes access controls.",""
"SC-4","Information in System Shared Resources","","SC-4","SC-4","This control is especially relevant for OT systems that process confidential data. Example compensating controls include engineering the use of the OT to prevent sharing system resources.",""
"SC-5","Denial-of-Service Protection","SC-5","SC-5","SC-5","Some OT equipment may be more susceptible to DoS attacks due to the time criticality of some OT applications. Risk-based analysis informs the prioritization of DoS protection and the establishment of policy and procedure.",""
"SC-7","Boundary Protection","SC-7 (28) (29)","SC-7 (3) (4) (5) (7) (8) (18) (28) (29)","SC-7 (3) (4) (5) (7) (8) (18) (21) (28) (29)","","The organization selects an appropriate failure mode (e.g., permit or block all communications)."
"SC-8","Transmission Confidentiality and Integrity","","SC-8 (1)","SC-8 (1)","","When transmitting across untrusted network segments, the organization explores all possible cryptographic integrity mechanisms (e.g., digital signature, hash function) to protect the confidentiality and integrity of the information. Example compensating controls include physical protections, such as a secure conduit (e.g., point-to-point link) between two system components."
"SC-10","Network Disconnect","","SC-10","SC-10","",""
"SC-12","Cryptographic Key Establishment and Management","SC-12","SC-12","SC-12 (1)","",""
"SC-13","Cryptographic Protection","SC-13","SC-13","SC-13","",""
"SC-15","Collaborative Computing Devices and Applications","SC-15","SC-15","SC-15","",""
"SC-17","Public Key Infrastructure Certificates","","SC-17","SC-17","",""
"SC-18","Mobile Code","","SC-18","SC-18","Secure name/address resolution services should only be used after careful consideration and verification that they do not adversely impact the operational performance of the OT.",""
"SC-20","Secure Name /Address Resolution Service (Authoritative Source)","SC-20","SC-20","SC-20","",""
"SC-21","Secure Name /Address Resolution Service (Recursive or Caching Resolver)","SC-21","SC-21","SC-21","",""
"SC-22","Architecture and Provisioning for Name/Address Resolution Service","SC-22","SC-22","SC-22","Secure name/address resolution services should only be used after careful consideration and verification that they do not adversely impact the operational performance of the OT.",""
"SC-23","Session Authenticity","","SC-23","SC-23","Example compensating controls include auditing measures.",""
"SC-24","Fail in Known State","","SC-24","SC-24","The organization selects an appropriate failure state. Preserving OT state information includes consistency among OT state variables and the physical state that the OT represents (e.g., whether valves are open or closed, communication permitted or blocked, continue operations).",""
"SC-28","Protection of Information at Rest","","SC-28 (1)","SC-28 (1)","Cryptographic mechanisms are implemented only after careful consideration and verification that they do not adversely impact the operational performance of the OT. When cryptographic mechanisms are not feasible on certain OT devices, compensating controls may include relocating the data to a location that does support cryptographic mechanisms.",""
"SC-32","","","","","","Organizations consider separate physical domains for privileged functions, such as those that affect security and safety."
"SC-39","Process Isolation","SC-39","SC-39","SC-39","Example compensating controls include partition processes to separate platforms.",""
"SC-41","Port and I/O Device Access","SC-41","SC-41","SC-41","",""
"SC-45","System Time Synchronization","SC-45","SC-45","SC-45","Organizations coordinate time synchronization on OT to allow for accurate troubleshooting and forensics.","Syncing with an authoritative time source may be selected as a control when data is being correlated across organizational boundaries. OT employ suitable mechanisms (e.g., GPS, IEEE 1588) for timestamps."
"SC-47","Alternate Communications Path","","","SC-47","Organizations consider which systems require alternate communication paths to ensure that a loss of communication does not lead to an unacceptable loss of view or control or to a safety event.",""
"SC-51","","","","","Some OT systems support write-protection by implementing physical key switches or write-protect switches. Organizations define the systems for which write-protection will be enabled and develop a process for how to take the system out of write-protect mode.",""
"SI-1","Policy and Procedures","SI-1","SI-1","SI-1","The policy specifically addresses the unique properties and requirements of OT and the relationship to non-OT systems.",""
"SI-2","Flaw Remediation","SI-2","SI-2 (2)","SI-2 (2)","Flaw remediation, or patching, is complicated since many OT employ OSs and other software that are no longer maintained by the vendors. OT operators may also not have the resources or capability to test patches and are dependent on vendors to validate the operability of a patch. Sometimes, the organization has no choice but to accept additional risk if no vendor patch is available, if patching requires additional time to complete validation or testing, or if deployment requires an unacceptable operations shutdown. In these situations, compensating controls should be implemented (e.g., limiting the exposure of the vulnerable system, restricting vulnerable services, implementing virtual patching). Other compensating controls that do not decrease the residual risk but increase the ability to respond may be desirable (e.g., provide a timely response in case of an incident, devise a plan to ensure that the OT can identify exploitation of the flaw). Testing flaw remediation in an OT may exceed the organization's available resources.",""
"SI-3","Malicious Code Protection","SI-3","SI-3","SI-3","Malicious code protection should only be deployed after careful consideration and verification that it does not adversely impact the operation of the OT. Malicious code",""
"SI-4","System Monitoring","SI-4","SI-4 (2) (4) (5) SI-4 (2) (4) (5) (10) (12) (14) (20) (22)","","The organization ensures that the use of monitoring tools and techniques does not adversely impact the operational performance of the OT. Example compensating controls include deploying sufficient network, process, and physical monitoring.","When the OT cannot support the use of automated tools for near-real-time analysis of events, the organization employs compensating controls (e.g., providing an auditing capability on a separate system, nonautomated mechanisms or procedures) in accordance with the general tailoring guidance."
"SI-5","Security Alerts, Advisories, and Directives INITIAL CONTROL BASELINES CONTROL NAME","SI-5 LOW MOD","SI-5","SI-5 (1) HIGH","CISA generates security alerts and advisories relative to OT at [https://www.cisa.gov/uscert/ics.](https://www.cisa.gov/uscert/ics) Industry-specific ISACs often provide tailored advisories and alerts, which can be found at [https://www.nationalisacs.org/.](https://www.nationalisacs.org/)",""
"SI-6","Security and Privacy Function Verification","","","SI-6","Shutting down and restarting the OT may not always be feasible upon the identification of an anomaly. These actions should be scheduled according to OT operational requirements.",""
"SI-7","Software, Firmware, and Information Integrity","","SI-7 (1) (7)","SI-7 (1) (2) (5) (7) (15)","The organization determines whether the use of integrity verification applications would adversely impact operation of the ICS and employs compensating controls (e.g., manual integrity verifications that do not affect performance).","When the organization cannot employ automated tools that provide notifications about integrity discrepancies, the organization employs nonautomated mechanisms or procedures. Example compensating controls include performing scheduled manual inspections for integrity violations."
"SI-8","Spam Protection","","SI-8 <del>(2)</del>","SI-8 <del>(2)</del>","OT organizations implement spam protection by removing spam transport mechanisms, functions, and services (e.g., electronic mail, web browsing) from the OT.",""
"SI-10","Information Input Validation","","SI-10","SI-10","",""
"SI-11","Error Handling","","SI-11","SI-11","",""
"SI-12","Information Handling and Retention","SI-12","SI-12","SI-12","",""
"SI-13","Predictable Failure Prevention","","","<u>SI-13</u>","",""
"SI-16","Memory Protection","","SI-16","SI-16","",""
"SI-17","Fail-Safe Procedures","<u>SI-17</u>","<u>SI-17</u>","<u>SI-17</u>","The selected failure conditions and corresponding procedures may vary among baselines. The same failure event may trigger different responses, depending on the impact level. Mechanical and analog systems can be used to provide mechanisms to ensure fail-safe procedures. Fail-safe states should incorporate potential impacts to human safety, physical systems, and the environment. A related controls is CP-6.",""
"SI-22","","","","","Many OT systems use information diversity in their design to achieve reliability requirements. Some examples of information diversity for an OT system include sensor voting and state estimation.",""
"SR-1","Policy and Procedures","SR-1","SR-1","SR-1","Supply chain policies and procedures for OT should consider both components received and components produced. Many OT systems use legacy components that cannot meet modern supply chain expectations. Appropriate compensating controls should be developed to achieve organizational supply chain expectations for legacy systems.",""
"SR-2","Supply Chain Risk Management Plan","SR-2 (1)","SR-2 (1)","SR-2 (1)","",""
"SR-3","Supply Chain Controls and Processes","SR-3","SR-3","SR-3","","Using a diverse set of suppliers in the OT environment can improve reliability by reducing common cause failures. This is not always"
"SR-5","Acquisition Strategies, Tools, and Methods","SR-5","SR-5 <u>(1)</u>","SR-5 <u>(1)</u>","","Vendor relationships and spare parts strategies are developed to ensure that an adequate supply of critical components is available to meet operational needs."
"SR-6","Supplier Assessments and Reviews","","SR-6","SR-6","",""
"SR-8","Notification Agreements","SR-8","SR-8","SR-8","",""
"SR-9","Tamper Resistance and Detection","","","SR-9 (1)","",""
"SR-10","Inspection of Systems or Components","SR-10","SR-10","SR-10","",""
"SR-11","Component Authenticity","SR-11 (1) (2)","SR-11 (1) (2)","SR-11 (1) (2)","",""
"SR-12","Component Disposal","SR-12","SR-12","SR-12","",""
