normalized_term,source_count,source_secid,source_name,term,definition,source_anchor
asset,5,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),Asset,"A person, structure, facility, information, and records, information technology systems and resources, material, process, relationships, or reputation that has value. Anything useful that contributes to the success of something, such as an organizational mission; assets are things of value or properties to which value can be assigned.",https://niccs.cisa.gov/resources/glossary#letter-a
asset,5,secid:reference/ny.gov/its-glossary,NY State ITS Glossary,Asset,"Anything that has value to an organization including, but not limited to, another organization, person, computing device, information technology (IT) system, IT network, IT circuit, software (both an installed instance and a physical instance), virtual computing platform (common in cloud and virtualized computing), and related hardware (e.g., locks, cabinets, keyboards).",https://its.ny.gov/glossary#asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,"<p>A distinguishable entity that provides a service or capability. Assets are people, physical entities, or information located either within or outside the United States and employed, owned, or operated by domestic,&nbsp;</p><p>foreign, public, or private sector organizations.</p>",https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,Anything that has value to a person or organization.,https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,"A major application, general support system, high impact program, physical plant, mission critical system, personnel, equipment, or a logically related group of systems.",https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,"An item of value to stakeholders. An asset may be tangible (e.g., a physical item such as hardware, firmware, computing platform, network device, or other technology component) or intangible (e.g., humans, data, information, software, capability, function, service, trademark, copyright, patent, intellectual property, image, or reputation). The value of an asset is determined by stakeholders in consideration of loss concerns across the entire system life cycle. Such concerns include but are not limited to business or mission concerns.",https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,"Anything that has value to an organization, including, but not limited to, another organization, person, computing device, information technology (IT) system, IT network, IT circuit, software (both an installed instance and a physical instance), virtual computing platform (common in cloud and virtualized computing), and related hardware (e.g., locks, cabinets, keyboards).",https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,Resources of value that an organization possesses or employs.,https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,Anything that can be transferred.,https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,"The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes.",https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,"An item of value to achievement of organizational mission/business objectives. Note 1: Assets have interrelated characteristics that include value, criticality, and the degree to which they are relied upon to achieve organizational mission/business objectives. From these characteristics, appropriate protections are to be engineered into solutions employed by the organization. Note 2: An asset may be tangible (e.g., physical item such as hardware, software, firmware, computing platform, network device, or other technology components) or intangible (e.g., information, data, trademark, copyright, patent, intellectual property, image, or reputation).",https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,asset,"An item of value to achievement of organizational mission/business objectives. Note 1: Assets have interrelated characteristics that include value, criticality, and the degree to which they are relied upon to achieve organizational mission/business objectives. From these characteristics, appropriate protections are to be engineered into solutions employed by the organization. Note 2: An asset may be tangible (e.g., physical item such as hardware, software, firmware, computing platform, network device, or other technology components) or intangible (e.g., information, data, trademark, copyright, patent, intellectual property, image, or reputation).",https://csrc.nist.gov/glossary/term/asset
asset,5,secid:reference/virginia.gov/cov-it-glossary,COV IT Glossary (Virginia),Asset,"Any software, data, hardware, administrative, physical, communications, or personnel resources.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/a/#1049939
certificate,5,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,certificate,"1. (I) /general English/ A document that attests to the truth of
something or the ownership of something.

2. (I) /general security/ See: capability token, digital
certificate.

3. (I) /PKI/ See: attribute certificate, public-key certificate.",rfc4949-section-4-certificate
certificate,5,secid:reference/gov.uk/ncsc-glossary,NCSC UK Glossary,certificate,"A form of digital identity for a computer, user or organisation to allow the authentication and secure exchange of data.",https://www.ncsc.gov.uk/section/advice-guidance/glossary
certificate,5,secid:reference/amazon.com/aws-glossary,AWS Glossary Reference,certificate,A credential that some AWS products use to authenticate AWS accounts and users. Also known as an X.509 certificate . The certificate is paired with a private key.,https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies a public key (which has a corresponding private key) and an owner that is authorized to use the key pair. The certificate contains the owner’s public key and possibly other information and is digitally signed by a Certification Authority (i.e., a trusted party), thereby binding the public key to the owner.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies a public key that has a corresponding private key and an owner that is authorized to use the key pair. The certificate contains the owner’s public key and possibly other information and is digitally signed by a certification authority (i.e., a trusted party), thereby binding the public key to the owner.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A digital representation of information which at least (1) identifies the certification authority issuing it, (2) names or identifies its subscriber, (3) contains the subscriber's public key, (4) identifies its operational period, and (5) is digitally signed by the certification authority issuing it. [ABADSG]. As used in this CP, the term “Certificate” refers to certificates that expressly reference the OID of this CP in the “Certificate Policies” field of an X.509 v.3 certificate.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A digital representation of information which at least (1) identifies the certification authority issuing it, (2) names or identifies it’s Subscriber, (3) contains the Subscriber’s public key, (4) identifies it’s operational period, and (5) is digitally signed by the certification authority issuing it.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A digital representation of information which at least (1) identifies the certification authority (CA) issuing it, (2) names or identifies its subscriber, (3) contains the subscriber’s public key, (4) identifies its operational period, and (5) is digitally signed by the certification authority issuing it.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,See certificate.,https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,A digitally signed data structure defined in the X.509 standard [IS0 94-8] that binds the identity of a certificate holder (or subject) to a public key.,https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A data structure that contains an entity’s identifier(s), the entity's public key (including an indication of the associated set of domain parameters) and possibly other information, along with a signature on that data set that is generated by a trusted party, i.e. a certificate authority, thereby binding the public key to the included identifier(s).",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies a key pair owner that is authorized to use the key pair, contains the owner’s public key and possibly other information, and is digitally signed by a Certification Authority (i.e., a trusted party), thereby binding the public key to the owner.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,See public-key certificate.,https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,See public key certificate.,https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A data structure that contains an entity’s identifier(s), the entity's public key (including an indication of the associated set of domain parameters) and possibly other information, along with a signature on that data set that is generated by a trusted party, i.e., a certificate authority, thereby binding the public key to the included identifier(s).",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies an entity, contains the entity's public key and possibly other information, and is digitally signed by a trusted party, thereby binding the public key to the entity. Additional information in the certificate could specify how the key is used and its validity period.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies an entity, contains the entity’s public key and possibly other information, and is digitally signed by a trusted party, thereby binding the public key to the entity identified in the certificate. Additional information in the certificate could specify how the key is used and the validity period of the certificate.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies an entity, contains the entity’s public key and possibly other information, and is digitally signed by a trusted party, thereby binding the public key to the entity. Additional information in the certificate could specify how the key is used and its validity period.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies an entity, contains the entity's public key and possibly other information, and is digitally signed by a trusted party, thereby binding the public key to the entity. Additional information in the certificate could specify how the key is used and its validity period.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies an entity, contains the entity's public key and possibly other information, and is digitally signed by a trusted party, thereby binding the public key to the entity. Additional information in the certificate could specify how the key is used and its validity period. (Certificates in this practice guide are based on IETF RFC 5280).",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies an entity, contains the entity's public key and possibly other information, and is digitally signed by a trusted party, thereby binding the public key to the entity. Additional information in the certificate could specify how the key is used and its validity period. (Certificates in this practice guide are based on IETF RFC 5280.)",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"Also known as a digital certificate. A digital representation of information which at least 1. identifies the certification authority issuing it, 2. names or identifies its subscriber, 3. contains the subscriber's public key, 4. identifies its operational period, and 5. is digitally signed by the certification authority issuing it.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A data structure that contains an entity’s identifier(s), the entity's public key and possibly other information, along with a signature on that data set that is generated by a trusted party, i.e. a certificate authority, thereby binding the public key to the included identifier(s).",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,certificate,"A set of data that uniquely identifies an entity, contains the entity's public key and possibly other information, and is digitally signed by a trusted party, thereby binding the public key to the entity. Additional information in the certificate could specify how the key is used and its cryptoperiod.",https://csrc.nist.gov/glossary/term/certificate
certificate,5,secid:reference/kubernetes.io/kubernetes-glossary,Kubernetes Glossary,Certificate,"A cryptographically secure file used to validate access to the Kubernetes cluster.

Certificates enable applications within a Kubernetes cluster to access the Kubernetes API securely. Certificates validate that clients are allowed to access the API.",https://kubernetes.io/docs/reference/glossary/#term-certificate
ciphertext,5,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,ciphertext,"1. (O) /noun/ Synonym for ""cipher text"" [I7498-2].

2. (I) /adjective/ Referring to cipher text. Usage: Commonly used
instead of ""cipher-text"". (Compare: cleartext, plaintext.)",rfc4949-section-4-ciphertext
ciphertext,5,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),Ciphertext,"Ciphertext is the unreadable, encrypted form of data (plaintext) created by applying an encryption algorithm, designed to ensure confidentiality during storage or transmission. It remains unintelligible without the correct decryption key. Ciphertext is critical for securing data at rest and in transit.",https://niccs.cisa.gov/resources/glossary#letter-c
ciphertext,5,secid:reference/amazon.com/aws-glossary,AWS Glossary Reference,ciphertext,"Information that has been encrypted , as opposed to plaintext , which is information that has not.",https://docs.aws.amazon.com/glossary/latest/reference/glos-chap.html#ciphertext
ciphertext,5,secid:reference/cyber.gc.ca/glossary,Canadian Centre for Cyber Security Glossary,Ciphertext,A cryptography term for encrypted information.,https://www.cyber.gc.ca/en/glossary#ciphertext
ciphertext,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,ciphertext,Data in its encrypted form.,https://csrc.nist.gov/glossary/term/ciphertext
ciphertext,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,ciphertext,The encrypted form of the plaintext.,https://csrc.nist.gov/glossary/term/ciphertext
ciphertext,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,ciphertext,Data in its encrypted form.,https://csrc.nist.gov/glossary/term/ciphertext
ciphertext,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,ciphertext,Encrypted (enciphered) data.,https://csrc.nist.gov/glossary/term/ciphertext
ciphertext,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,ciphertext,Encrypted data.,https://csrc.nist.gov/glossary/term/ciphertext
ciphertext,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,ciphertext,The output of the CCM encryption-generation process.,https://csrc.nist.gov/glossary/term/ciphertext
ciphertext,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,ciphertext,The encrypted form of the plaintext.,https://csrc.nist.gov/glossary/term/ciphertext
ciphertext,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,ciphertext,The confidential form of the plaintext that is the output of the authenticated-encryption function.,https://csrc.nist.gov/glossary/term/ciphertext
ciphertext,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,ciphertext,Data in its enciphered form.,https://csrc.nist.gov/glossary/term/ciphertext
cookie,5,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,cookie,"1. (I) /HTTP/ Data exchanged between an HTTP server and a browser
(a client of the server) to store state information on the client
side and retrieve it later for server use.

Tutorial: An HTTP server, when sending data to a client, may send
along a cookie, which the client retains after the HTTP connection
closes. A server can use this mechanism to maintain persistent
client-side state information for HTTP-based applications,
retrieving the state information in later connections. A cookie
may include a description of the range of URLs for which the state
is valid. Future requests made by the client in that range will
also send the current value of the cookie to the server. Cookies
can be used to generate profiles of web usage habits, and thus may
infringe on personal privacy.

2. (I) /IPsec/ Data objects exchanged by ISAKMP to prevent certain
denial-of-service attacks during the establishment of a security
association.

3. (D) /access control/ Synonym for ""capability token"" or
""ticket"".

Deprecated Definition: IDOCs SHOULD NOT use this term with
definition 3; that would duplicate the meaning of better-
established terms and mix concepts in a potentially misleading
way.",rfc4949-section-4-cookie
cookie,5,secid:reference/incibe.es/glosario-terminos-ciberseguridad,INCIBE Glosario de terminos de ciberseguridad,Cookie,"Una cookie es un pequeño fichero que almacena información enviada por un sitio web y que se almacena en el equipo del usuario, de manera que el sitio web puede consultar la actividad previa del usuario.

<span id=""page-31-0""></span>

Sus principales funciones son:

- Llevar el control de usuarios: cuando un usuario introduce su nombre de usuario y contraseña, se almacena una cookie para que no tenga que estar introduciéndolas para cada página del servidor.
- Recabar información sobre los hábitos de navegación del usuario. Esto puede significar una ataque contra la privacidad de los usuarios y es por lo que hay que tener cuidado con ellas.",https://www.incibe.es/sites/default/files/contenidos/guias/doc/guia_glosario_ciberseguridad_2021.pdf#section-2.3.29
cookie,5,secid:reference/ny.gov/its-glossary,NY State ITS Glossary,Cookie,A unique text file stored on a user's computer by an Internet browser. These text files are used as a means of distinguishing among users of a website and as a means of customizing the website according to the user's preferences and interests. A cookie will not include personal information unless the user has volunteered that information.,https://its.ny.gov/glossary#cookie
cookie,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,cookie,A piece of state information supplied by a web server to a browser that is temporarily stored and returned to the server on any subsequent visits or requests.,https://csrc.nist.gov/glossary/term/cookie
cookie,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,cookie,"A piece of state information supplied by a Web server to a browser, in a response for a requested resource, for the browser to store temporarily and return to the server on any subsequent visits or requests.",https://csrc.nist.gov/glossary/term/cookie
cookie,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,cookie,A small file that stores information for a Web site.,https://csrc.nist.gov/glossary/term/cookie
cookie,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,cookie,A small file that stores information for a Web site on a user’s computer.,https://csrc.nist.gov/glossary/term/cookie
cookie,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,cookie,"A character string, placed in a web browser’s memory, which is available to websites within the same Internet domain as the server that placed them in the web browser. Cookies are used for many purposes and may be assertions or may contain pointers to assertions. See Section 9.1.1 for more information.",https://csrc.nist.gov/glossary/term/cookie
cookie,5,secid:reference/cyber.gouv.fr/cyberdico,ANSSI CyberDico,Cookie,"Information stockée par le navigateur sur le disque dur lors de la consultation d'un site Internet, qui permet au serveur de mémoriser des informations sur l'internaute et son comportement.",https://cyber.gouv.fr/glossaire#cookie
cryptography,5,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,cryptography,"1. (I) The mathematical science that deals with transforming data
to render its meaning unintelligible (i.e., to hide its semantic
content), prevent its undetected alteration, or prevent its
unauthorized use. If the transformation is reversible,
cryptography also deals with restoring encrypted data to
intelligible form. (See: cryptology, steganography.)

2. (O) ""The discipline which embodies principles, means, and
methods for the transformation of data in order to hide its
information content, prevent its undetected modification and/or
prevent its unauthorized use.... Cryptography determines the
methods used in encipherment and decipherment."" [I7498-2]

Tutorial: Comprehensive coverage of applied cryptographic
protocols and algorithms is provided by Schneier [Schn].
Businesses and governments use cryptography to make data
incomprehensible to outsiders; to make data incomprehensible to
both outsiders and insiders, the data is sent to lawyers for a
rewrite.",rfc4949-section-4-cryptography
cryptography,5,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),cryptography,"The use of mathematical techniques to provide security services, such as confidentiality, data integrity, entity authentication, and data origin authentication.",https://niccs.cisa.gov/resources/glossary#letter-c
cryptography,5,secid:reference/gov.uk/ncsc-glossary,NCSC UK Glossary,cryptography,Technologies primarily based on maths and computer science for protecting information so that it is only accessible to authorised recipients.,https://www.ncsc.gov.uk/section/advice-guidance/glossary
cryptography,5,secid:reference/cyber.gc.ca/glossary,Canadian Centre for Cyber Security Glossary,Cryptography,"The study of techniques used to make plain information unreadable, as well as to convert it back to a readable form.",https://www.cyber.gc.ca/en/glossary#cryptography
cryptography,5,secid:reference/virginia.gov/cov-it-glossary,COV IT Glossary (Virginia),Cryptography,"The process of transforming plain text into cipher text, and cipher text into plain text.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/c/#1050219
cyber security,5,secid:reference/canada.ca/enterprise-cyber-security-strategy-glossary,Government of Canada Enterprise Cyber Security Strategy — Glossary,cyber security,"Cyber security refers to the security of the transmission of electronic data and information across cyberspace. It covers the technology, processes, practices, and response and mitigation measures designed to protect electronic information, data and information infrastructure from mischief, unauthorized use or disruption in cyberspace. Cyber security complements IT security. Cyber security operationalizes the IT security controls set out in subsection B.2.3 of Appendix B of the Directive on Security Management.",app-b#cyber-security
cyber security,5,secid:reference/gov.uk/ncsc-glossary,NCSC UK Glossary,cyber security,"The protection of devices, services and networks - and the information on them - from unauthorised access, theft or damage.",https://www.ncsc.gov.uk/section/advice-guidance/glossary
cyber security,5,secid:reference/cyber.gc.ca/glossary,Canadian Centre for Cyber Security Glossary,Cyber security,"The protection of digital information, as well as the integrity of the infrastructure housing and transmitting digital information. More specifically, cyber security includes the body of technologies, processes, practices and response and mitigation measures designed to protect networks, computers, programs and data from attack, damage or unauthorized access so as to ensure confidentiality, integrity and availability.",https://www.cyber.gc.ca/en/glossary#cyber-security
cyber security,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,Cyber Security,The ability to protect or defend the use of cyberspace from cyber attacks.,https://csrc.nist.gov/glossary/term/cyber_security
cyber security,5,secid:reference/virginia.gov/cov-it-glossary,COV IT Glossary (Virginia),Cyber Security,"Practice of defending computers, servers, mobile devices, electronic systems, networks, and data from malicious attacks. It's also known as information technology security or electronic information security.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/c/#1050234
data breach,5,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),data breach,"The unauthorized movement or disclosure of sensitive information to a party, usually outside the organization, that is not authorized to have or see the information.",https://niccs.cisa.gov/resources/glossary#letter-d
data breach,5,secid:reference/wa.gov/data-breach-glossary,Washington State AG Data Breach Glossary,Data Breach,"An incident where confidential, sensitive, or protected data is accessed, disclosed, or used by an unauthorized person or entity.",https://www.atg.wa.gov/glossary-data-breach-terms#data_breach
data breach,5,secid:reference/texas.gov/cybersecurity-terminology,Texas DIR Cybersecurity Terminology,Data breach,"a security incident in which sensitive, protected or confidential data is copied, transmitted, viewed, stolen or used by an individual unauthorized to do so.",https://dir.texas.gov/resource-library-item/cybersecurity-terminology#data-breach
data breach,5,secid:reference/agid.gov.it/cert-agid-glossario,Glossario CERT-AGID,Data breach,"Che cos’è
Con il termine data breach si intende un incidente di sicurezza in cui dati sensibili, riservati, protetti vengono consultati, copiati, trasmessi, rubati o utilizzati da soggetti non autorizzati. Solitamente il data breach si realizza attraverso una divulgazione di dati riservati o confidenziali all’interno di un ambiente privo di misure di sicurezza (come ad esempio il web) in maniera involontaria o volontaria. Tale divulgazione può avvenire in seguito a:
- perdita accidentale : data breach causato ad esempio da smarrimento di una chiavetta USB con contenuti riservati;
- furto :  data breach causato ad esempio da furto di un notebook con all’interno dati confidenziali/riservati;
- infedeltà aziendale : data breach causato ad esempio da un dipendente/persona interna che avendo autorizzazione ad accedere ai dati ne produce una copia da distribuire in ambiente pubblico;
- accesso abusivo : data breach causato ad esempio da un accesso non autorizzato ai sistemi informatici con successiva divulgazione delle informazioni acquisite
Secondo il GDPR , la notifica di eventuali violazioni di dati dovrà avvenire possibilmente senza ingiustificato ritardo e, ove possibile, entro 72 ore , dal momento in cui si è venuto a conoscenza della violazione, a meno che sia improbabile che la violazione dei dati personali presenti un rischio per i diritti e le libertà delle persone fisiche. L’eventuale ritardo dovrà essere motivato.",https://cert-agid.gov.it/glossario/data-breach/
data breach,5,secid:reference/virginia.gov/cov-it-glossary,COV IT Glossary (Virginia),Data Breach,"The unauthorized access and acquisition of unredacted computerized data that compromises the security or confidentiality of personal information. Good faith acquisition of personal information by an employee or agent of an individual or entity for the purposes of the individual or entity that is authorized to view the data is not a breach of the security of the system, provided that the personal information is not used for a purpose other than a lawful purpose of the individual or entity or subject to further unauthorized disclosure.",https://www.vita.virginia.gov/policy--governance/governance/cov-it-glossary/d/#1049246
decryption,5,secid:reference/ietf.org/rfc4949-internet-security-glossary,RFC 4949 - Internet Security Glossary v2,decryption,"(I) See: secondary definition under ""encryption"".",rfc4949-section-4-decryption
decryption,5,secid:reference/cisa.gov/niccs-glossary,NICCS Cybersecurity Glossary (CISA),decryption,The process of transforming ciphertext into its original plaintext.,https://niccs.cisa.gov/resources/glossary#letter-d
decryption,5,secid:reference/wikimedia.org/security-team-definitions,Wikimedia Security Team Definitions,Decryption,Decryption is the process of transforming ciphertext (information unreadable to anyone without the key) into plaintext (information readable to anyone). This is completed by using the key along with the encryption algorithm in reverse.,https://www.mediawiki.org/wiki/Wikimedia_Security_Team/Definitions#Decryption
decryption,5,secid:reference/gov.uk/ncsc-glossary,NCSC UK Glossary,decryption,Making information that has been encrypted readable again.,https://www.ncsc.gov.uk/section/advice-guidance/glossary
decryption,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,Decryption,The process of transforming ciphertext into plaintext.,https://csrc.nist.gov/glossary/term/decryption
decryption,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,Decryption,The process of changing ciphertext into plaintext using a cryptographic algorithm and key.,https://csrc.nist.gov/glossary/term/decryption
decryption,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,Decryption,The process of transforming ciphertext into plaintext.,https://csrc.nist.gov/glossary/term/decryption
decryption,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,Decryption,The process of a confidentiality mode that transforms encrypted data into the original usable data.,https://csrc.nist.gov/glossary/term/decryption
decryption,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,Decryption,The process of transforming ciphertext into plaintext using a cryptographic algorithm and key.,https://csrc.nist.gov/glossary/term/decryption
decryption,5,secid:reference/nist.gov/csrc-glossary,NIST Computer Security Resource Center (CSRC) Glossary — consolidated terminology from NIST cybersecurity publications,Decryption,The process of changing ciphertext into plaintext.,https://csrc.nist.gov/glossary/term/decryption
