"requirement_id","top_level_requirement","section_id","requirement_text","testing_procedures","guidance"
"5.4","5","5.4","Ensure that security policies and operational procedures for protecting systems against malware are documented, in use, and known to all affected parties.","5.4
Examine documentation and interview personnel to verify that security policies and operational procedures for protecting systems against malware are: • Documented, • In use, and • Known to all affected parties.","Personnel need to be aware of and following security policies and operational procedures to ensure systems are protected from malware on a continuous basis."
"6.1","6","6.1","Establish a process to identify security vulnerabilities, using reputable outside sources for security vulnerability information, and assign a risk ranking (for example, as
""high,""
""medium,"" or ""low"") to newly discovered security vulnerabilities.
Note: Risk rankings should be based on process defined in Requirement 6.1.
resolved in accordance with the entity's vulnerability ranking (per Requirement
6.1). Scans must be performed by","6.1.a Examine policies and procedures to verify that processes are defined for the following: • To identify new security vulnerabilities • To assign a risk ranking to vulnerabilities that includes identification of all ""high risk"" and ""critical"" vulnerabilities. • To use reputable outside sources for security
For a sample of system components and related
6.2.b software, compare the list of security patches installed on each system to the most recent vendor security-patch list, to verify the following: • That applicable critical vendor-supplied security patches are installed within one month of release. • All applicable vendor-supplied security patches are installed within an appropriate time frame (for example, within three months).
11.2.1.b Review the scan reports and verify that all ""high risk"" vulnerabilities are addressed and the scan process includes rescans to verify that the
""high risk"" vulnerabilities","The intent of this requirement is that organizations keep up to date with new vulnerabilities that may impact their environment.
Sources for vulnerability information should be trustworthy and often include vendor websites, industry news groups, mailing list, or RSS feeds.
Once an organization identifies a vulnerability that or gain access to sensitive data.
Prioritizing patches for critical infrastructure ensures that high-priority systems and devices are protected from vulnerabilities as soon as possible after a patch is released. Consider prioritizing patch installations such that security patches for critical or at-risk systems are installed within 30 days, and other lower-risk patches are installed within 2-3 months.
This requirement applies to applicable patches for all installed software, including payment applications
(both those that are PA-DSS validated and those that are not).
environment (for example, ranked ""High"" per
Requirement 6.1) should be resolved with the highest priority."
"6.2","6","6.2","Ensure that all system components and software are protected from known vulnerabilities by installing applicable vendor supplied security patches. Install critical security patches within one month of release.
Critical security patches should be
Note:
identified according to the risk ranking","6.2.a
Examine policies and procedures related to security patch installation to verify processes are defined for: • Installation of applicable critical vendor-supplied security patches within one month of release. • Installation of all applicable vendor-supplied security patches within an appropriate time frame (for example, within three months).","There is a constant stream of attacks using widely published exploits, often called ""zero day"" (an attack that exploits a previously unknown vulnerability), against otherwise secured systems. If the most recent patches are not implemented on critical systems as soon as possible, a malicious individual can use these exploits to attack or disable a system,"
"6.3","6","6.3","Develop internal and external software applications (including web-based administrative access to applications)","6.3.a Examine written software-development processes to verify that the processes are based on industry standards and/or best practices.","Without the inclusion of security during the requirements definition, design, analysis, and testing phases of software development, security"
"6.3.1","6","6.3","Remove development, test and/or custom application accounts, user IDs, and passwords before applications become active or are released to customers.","6.3.1 Examine written software-development procedures and interview responsible personnel to verify that pre production and/or custom application accounts, user IDs and/or passwords are removed before an application goes into production or is released to customers.","Development, test and/or custom application accounts, user IDs, and passwords should be removed from production code before the application becomes active or is released to customers, since these items may give away information about the functioning of the application.
Possession of such information could facilitate compromise of the application and related cardholder data."
"6.3.2","6","6.3","Review custom code prior to release to production or customers in order to identify any potential coding vulnerability
(using either manual or automated","6.3.2.a Examine written software-development procedures and interview responsible personnel to verify that all custom application code changes must be reviewed (using either manual or automated processes) as follows:","Security vulnerabilities in custom code are commonly exploited by malicious individuals to gain access to a network and compromise cardholder data."
"6.4","6","6.4","Follow change control processes and

procedures for all changes to system components. The processes must include the following:","6.4 Examine policies and procedures to verify the following are defined: • Development/test environments are separate from production environments with access control in place to enforce separation. • A separation of duties between personnel assigned to the development/test environments and those assigned to the production environment. • Production data (live PANs) are not used for testing or development. • Test data and accounts are removed before a production system becomes active. • Change control procedures related to implementing security patches and software modifications are documented.","Without properly documented and implemented change controls, security features could be inadvertently or deliberately omitted or rendered inoperable, processing irregularities could occur, or malicious code could be introduced."
"6.4.1","6","6.4","Separate development/test environments from production environments, and enforce the separation with access controls.","6.4.1.a Examine network documentation and network device configurations to verify that the development/test environments are separate from the production environment(s).
6.4.1.b Examine access controls settings to verify that access controls are in place to enforce separation between the development/test environments and the production environment(s).","Due to the constantly changing state of development and test environments, they tend to be less secure than the production environment. Without adequate separation between environments, it may be possible for the production environment, and cardholder data, to be compromised due to less stringent security configurations and possible vulnerabilities in a test or development environment."
"6.4.2","6","6.4","Separation of duties between development/test and production environments","6.4.2 Observe processes and interview personnel assigned to development/test environments and personnel assigned to production environments to verify that separation of duties is in place between development/test environments and the production environment.","Reducing the number of personnel with access to the production environment and cardholder data minimizes risk and helps ensure that access is limited to those individuals with a business need to know."
"6.4.3","6","6.4","Production data (live PANs) are not used for testing or development","6.4.3.a Observe testing processes and interview personnel to verify procedures are in place to ensure production data (live PANs) are not used for testing or development.","Security controls are usually not as stringent in test or development environments. Use of production data provides malicious individuals with the opportunity to gain unauthorized access to"
"6.4.4","6","6.4","Removal of test data and accounts from system components before the system becomes active
/ goes into production.","6.4.4.a Observe testing processes and interview personnel to verify test data and accounts are removed before a production system becomes active.","Test data and accounts should be removed before the system component becomes active
(in production), since these items may give away"
"6.4.5","6","6.4","Change control procedures must include the following:","6.4.5.a Examine documented change control procedures and verify procedures are defined for: • Documentation of impact • Documented change approval by authorized parties • Functionality testing to verify that the change does not adversely impact the security of the system • Back-out procedures","If not properly managed, the impact of system changes—such as hardware or software updates and installation of security patches—might not be fully realized and could have unintended consequences."
"6.4.5.1","6","6.4","Documentation of impact.","6.4.5.1 Verify that documentation of impact is included in the change control documentation for each sampled change.","The impact of the change should be documented so that all affected parties can plan appropriately for any processing changes."
"6.4.5.2","6","6.4","Documented change approval by authorized parties.","6.4.5.2 Verify that documented approval by authorized parties is present for each sampled change.","Approval by authorized parties indicates that the change is a legitimate and approved change sanctioned by the organization."
"6.4.5.3","6","6.4","Functionality testing to verify that the change does not adversely impact the security of the system.","6.4.5.3.a For each sampled change, verify that functionality testing is performed to verify that the change does not adversely impact the security of the system.","Thorough testing should be performed to verify that the security of the environment is not reduced by implementing a change. Testing should validate that all existing security controls remain in place, are replaced with equally strong controls, or are strengthened after any change to the environment."
"6.4.5.4","6","6.4","Back-out procedures.","6.4.5.4 Verify that back-out procedures are prepared for each sampled change.","For each change, there should be documented back-out procedures in case the change fails or adversely affects the security of an application or system, to allow the system to be restored back to its previous state."
"6.4.6","6","6.4","Upon completion of a significant

change, all relevant PCI DSS requirements must be implemented on all new or changed systems and networks, and documentation","6.4.6 For a sample of significant changes, examine change records, interview personnel, and observe the affected systems/networks to verify that applicable PCI DSS requirements were implemented and documentation updated as part of the change.","Having processes to analyze significant changes helps ensure that all appropriate PCI DSS controls are applied to any systems or networks added or changed within the in-scope environment."
"6.5","6","6.5","Address common coding vulnerabilities in software-development processes as follows:","6.5.a
Examine software-development policies and procedures to verify that up-to-date training in secure coding","The application layer is high-risk and may be targeted by both internal and external threats."
"6.5.1","6","6.5","The vulnerabilities listed at

Note:
through 6.5.10 were current with industry best practices when this version of PCI DSS was published. However, as industry best practices for vulnerability management are updated (for example, the OWASP
Guide,
SANS CWE Top 25, CERT Secure Coding, etc.), the current best practices must be used
Injection flaws, particularly SQL

injection. Also consider OS Command
Injection, LDAP and XPath injection flaws as well as other injection flaws.","Verify that processes are in place to protect
6.5.c applications from, at a minimum, the following vulnerabilities:
Examine software-development policies and
6.5.1 procedures and interview responsible personnel to verify that injection flaws are addressed by coding techniques that include: • Validating input to verify user data cannot modify meaning of commands and queries. • Utilizing parameterized queries.","identify and resolve issues related to these (and other) common coding vulnerabilities. Having staff knowledgeable of secure coding guidelines should minimize the number of security vulnerabilities introduced through poor coding practices. Training for developers may be provided in-house or by third parties and should be applicable for technology used.
Injection flaws, particularly SQL injection, are a commonly used method for compromising applications. Injection occurs when user-supplied data is sent to an interpreter as part of a command or query. The attacker's hostile data tricks the interpreter into executing unintended commands or changing data, and allows the attacker to attack components inside the network through the application, to initiate attacks such as buffer overflows, or to reveal both confidential information and server application functionality."
"6.5.2","6","6.5","Buffer overflows","Examine software-development policies and
6.5.2 procedures and interview responsible personnel to verify that buffer overflows are addressed by coding techniques that include: • Validating buffer boundaries. • Truncating input strings.","Buffer overflows occur when an application does not have appropriate bounds checking on its buffer space. This can cause the information in the buffer to be pushed out of the buffer's memory space and into executable memory space. When this occurs, the attacker has the ability to insert malicious code at the end of the buffer and then push that malicious code into executable memory space by overflowing the buffer. The malicious code is then executed and often enables the attacker remote access to the application and/or infected system."
"6.5.3","6","6.5","Insecure cryptographic storage","Examine software-development policies and
6.5.3 procedures and interview responsible personnel to verify that insecure cryptographic storage is addressed by coding techniques that: • Prevent cryptographic flaws. • Use strong cryptographic algorithms and keys.","Applications that do not utilize strong cryptographic functions properly to store data are at increased risk of being compromised, and exposing authentication credentials and/or cardholder data. If an attacker is able to exploit weak cryptographic processes, they may be able to gain clear-text access to encrypted data."
"6.5.4","6","6.5","Insecure communications","6.5.4 Examine software-development policies and procedures and interview responsible personnel to verify that insecure communications are addressed by coding techniques that properly authenticate and encrypt all sensitive communications.","Applications that fail to adequately encrypt network traffic using strong cryptography are at increased risk of being compromised and exposing cardholder data. If an attacker is able to exploit weak cryptographic processes, they may be able to gain control of an application or even gain clear-text access to encrypted data."
"6.5.5","6","6.5","Improper error handling","6.5.5 Examine software-development policies and procedures and interview responsible personnel to verify that improper error handling is addressed by coding techniques that do not leak information via error messages
(for example, by returning generic rather than specific error details).","Applications can unintentionally leak information about their configuration or internal workings, or expose privileged information through improper error handling methods. Attackers use this weakness to steal sensitive data or compromise the system altogether. If a malicious individual can create errors that the application does not handle properly, they can gain detailed system information, create denial of-service interruptions, cause security to fail, or crash the server. For example, the message
""incorrect password provided"" tells an attacker the user ID provided was accurate and that they should focus their efforts only on the password. Use more generic error messages, like ""data could not be verified."""
"6.5.6","6","6.5","All ""high risk"" vulnerabilities identified in the vulnerability identification process (as defined in PCI DSS Requirement 6.1).","6.5.6 Examine software-development policies and procedures and interview responsible personnel to verify that coding techniques address any ""high risk"" vulnerabilities that could affect the application, as identified in PCI DSS Requirement 6.1.","All vulnerabilities identified by an organization's vulnerability risk-ranking process (defined in
Requirement
6.1) to be ""high risk"" and that could affect the application should be identified and addressed during application development."
"6.5.7","6","6.5","Cross-site scripting (XSS)","6.5.7 Examine software-development policies and procedures and interview responsible personnel to verify that cross-site scripting (XSS) is addressed by coding techniques that include • Validating all parameters before inclusion • Utilizing context-sensitive escaping.","XSS flaws occur whenever an application takes user-supplied data and sends it to a web browser without first validating or encoding that content. XSS allows attackers to execute script in the victim's browser, which can hijack user sessions, deface web sites, possibly introduce worms, etc."
"6.5.8","6","6.5","Improper access control
(such as insecure direct object references, failure to restrict URL access, directory traversal, and failure to restrict user access to functions).","Examine software-development policies and
6.5.8 procedures and interview responsible personnel to verify that improper access control—such as insecure direct object references, failure to restrict URL access, and directory traversal—is addressed by coding technique that includes:","A direct object reference occurs when a developer exposes a reference to an internal implementation object, such as a file, directory, database record, or key, as a URL or form parameter. Attackers can manipulate those references to access other objects without authorization."
"6.5.9","6","6.5","Cross-site request forgery (CSRF)","6.5.9 Examine software development policies and procedures and interview responsible personnel to verify that cross-site request forgery (CSRF) is addressed by coding techniques that ensure applications do not rely on authorization credentials and tokens automatically submitted by browsers.","A CSRF attack forces a logged-on victim's browser to send a pre-authenticated request to a vulnerable web application, which then enables the attacker to perform any state-changing operations the victim is authorized to perform (such as updating account details, making purchases, or even authenticating to the application)."
"6.5.10","6","6.5","Broken authentication and session

management.","Examine software development policies and
6.5.10 procedures and interview responsible personnel to verify that broken authentication and session management are addressed via coding techniques that commonly include: • Flagging session tokens (for example cookies) as
""secure"" • Not exposing session IDs in the URL • Incorporating appropriate time-outs and rotation of","Secure authentication and session management prevents unauthorized individuals from compromising legitimate account credentials, keys, or session tokens that would otherwise enable the intruder to assume the identity of an authorized user."
"6.6","6","6.6","Note:
This requirement for code reviews applies to all custom code (both internal and public-facing), as part of the system development life cycle.
Code reviews can be conducted by knowledgeable internal personnel or third parties. Public-facing web applications are also subject to additional controls, to address ongoing threats and vulnerabilities after implementation, as defined at PCI DSS
Requirement 6.6.

For public-facing web applications, address new threats and vulnerabilities on an ongoing basis and ensure these applications are protected against known attacks by either of the following methods: • Reviewing public-facing web applications via manual or automated application vulnerability security assessment tools or methods, at least annually and after any changes
This assessment is not the same as the
Note:
vulnerability scans performed for
Requirement 11.2. • Installing an automated technical solution that detects and prevents web based attacks (for example, a web application firewall)
in front of public facing web applications, to continually check all traffic.","6.3.2.b Select a sample of recent custom application changes and verify that custom application code is reviewed according to 6.3.2.a, above.
6.6 For public-facing web applications, ensure that either one of the following methods is in place as follows: • Examine documented processes, interview personnel, and examine records of application security assessments to verify that public-facing web applications are reviewed—using either manual or automated vulnerability security assessment tools or methods—as follows:
At least annually
-
After any changes
-
By an organization that specializes in application
- security
That, at a minimum, all vulnerabilities in
-
Requirement
6.5 are included in the assessment
That all vulnerabilities are corrected
-
That the application is re-evaluated after the
- corrections. • Examine the system configuration settings and interview responsible personnel to verify that an automated technical solution that detects and prevents web-based attacks (for example, a web-application firewall) is in place as follows:
Is situated in front of public-facing web applications
- to detect and prevent web-based attacks.
Is actively running and up to date as applicable.
-
Is generating audit logs.
-
Is configured to either block web-based attacks, or
- generate an alert that is immediately investigated.","Public-facing web applications are primary targets for attackers, and poorly coded web applications provide an easy path for attackers to gain access to sensitive data and systems. The requirement for reviewing applications or installing web-application firewalls is intended to reduce the number of compromises on public-facing web applications due to poor coding or application management practices. • Manual or automated vulnerability security assessment tools or methods review and/or test the application for vulnerabilities • Web-application firewalls filter and block non essential traffic at the application layer. Used in conjunction with a network-based firewall, a properly configured web-application firewall prevents application-layer attacks if applications are improperly coded or configured.
This can be achieved through a combination of technology and process.
Process-based solutions must have mechanisms that facilitate timely responses to alerts in order to meet the intent of this requirement, which is to prevent attacks.
""An organization that specializes in
Note:
application security"" can be either a third-party company or an internal organization, as long as the reviewers specialize in application security and can demonstrate independence from the development team."
"6.7","6","6.7","Ensure that security policies and

operational procedures for developing and maintaining secure systems and applications are documented, in use, and known to all","Examine documentation and interview personnel to
6.7 verify that security policies and operational procedures for developing and maintaining secure systems and applications are:","Personnel need to be aware of and following security policies and operational procedures to ensure systems and applications are securely developed and protected from vulnerabilities on a"
"7.1","7","7.1","Limit access to system

components and cardholder data to only those individuals whose job requires such access.","Examine written policy for access control, and verify that the
7.1 policy incorporates 7.1.1 through 7.1.4 as follows: • Defining access needs and privilege assignments for each role • Restriction of access to privileged user IDs to least privileges necessary to perform job responsibilities • Assignment of access based on individual personnel's job classification and function • Documented approval (electronically or in writing) by authorized parties for all access, including listing of specific privileges approved.","The more people who have access to cardholder data, the more risk there is that a user's account will be used maliciously. Limiting access to those with a legitimate business reason for the access helps an organization prevent mishandling of cardholder data through inexperience or malice."
"7.1.1","7","7.1","Define access needs for each role, including: • System components and data resources that each role needs to access for their job function • Level of privilege required (for example, user, administrator, etc.) for accessing resources.","Select a sample of roles and verify access needs for each
7.1.1 role are defined and include: • System components and data resources that each role needs to access for their job function • Identification of privilege necessary for each role to perform their job function.","In order to limit access to cardholder data to only those individuals who need such access, first it is necessary to define access needs for each role (for example, system administrator, call center personnel, store clerk), the systems/devices/data each role needs access to, and the level of privilege each role needs to effectively perform assigned tasks. Once roles and corresponding access needs are defined, individuals can be granted access accordingly."
"7.1.2","7","7.1","Restrict access to privileged

user IDs to least privileges necessary to perform job responsibilities.","7.1.2.a Interview personnel responsible for assigning access to verify that access to privileged user IDs is: • Assigned only to roles that specifically require such privileged access • Restricted to least privileges necessary to perform job responsibilities.","When assigning privileged IDs, it is important to assign individuals only the privileges they need to perform their job (the ""least privileges""). For example, the database administrator or backup administrator should not be assigned the same privileges as the overall systems administrator.
(Continued on next page)"
"7.1.3","7","7.1","Assign access based on individual personnel's job classification and function.","7.1.3 Select a sample of user IDs and interview responsible management personnel to verify that privileges assigned are based on that individual's job classification and function.","Once needs are defined for user roles (per PCI DSS requirement 7.1.1), it is easy to grant individuals access according to their job classification and function by using the already-created roles."
"7.1.4","7","7.1","Require documented

approval by authorized parties specifying required privileges.","7.1.4 Select a sample of user IDs and compare with documented approvals to verify that: • Documented approval exists for the assigned privileges • The approval was by authorized parties • That specified privileges match the roles assigned to the individual.","Documented approval (for example, in writing or electronically) assures that those with access and privileges are known and authorized by management, and that their access is necessary for their job function."
"7.2","7","7.2","Establish an access control

system(s)
for systems components that restricts access based on a user's need to know, and is set to
""deny all"" unless specifically allowed.
This access control system(s)
must include the following:","Examine system settings and vendor documentation to verify
7.2 that an access control system(s)
is implemented as follows:","Without a mechanism to restrict access based on user's need to know, a user may unknowingly be granted access to cardholder data. Access control systems automate the process of restricting access and assigning privileges. Additionally, a default
""deny-all"" setting ensures no one is granted access until and unless a rule is established specifically granting such access.
Entities may have one or more access controls systems to manage user access.
Note:
Some access control systems are set by default to ""allow-all,"" thereby permitting access unless/until a rule is written to specifically deny it."
"7.2.1","7","7.2","Coverage of all system

components","Confirm that access control systems are in place on all
7.2.1 system components.",""
"7.2.2","7","7.2","Assignment of privileges to individuals based on job classification and function.","7.2.2 Confirm that access control systems are configured to enforce privileges assigned to individuals based on job classification and function.",""
"7.2.3","7","7.2","Default ""deny-all"" setting.","7.2.3
Confirm that the access control systems have a default
""deny-all"" setting.",""
"7.3","7","7.3","Ensure that security policies and operational procedures for restricting access to cardholder data are documented, in use, and known to all affected parties.","7.3
Examine documentation and interview personnel to verify that security policies and operational procedures for restricting access to cardholder data are: • Documented, • In use, and • Known to all affected parties.","Personnel need to be aware of and following security policies and operational procedures to ensure that access is controlled and based on need to-know and least privilege, on a continuous basis."
"8.1","8","8.1","Define and implement policies and procedures to ensure proper user","8.1.a
Review procedures and confirm they define processes for each of the items below at 8.1.1 through 8.1.8","By ensuring each user is uniquely identified— instead of using one ID for several employees—an"
"8.1.1","8","8.1","Assign all users a unique ID before allowing them to access system components or cardholder data.","8.1.1 Interview administrative personnel to confirm that all users are assigned a unique ID for access to system components or cardholder data.","containment when misuse or malicious intent occurs."
"8.1.2","8","8.1","Control addition, deletion, and modification of user IDs, credentials, and other identifier objects.","8.1.2 For a sample of privileged user IDs and general user IDs, examine associated authorizations and observe system settings to verify each user ID and privileged user ID has been implemented with only the privileges specified on the documented approval.","To ensure that user accounts granted access to systems are all valid and recognized users, strong processes must manage all changes to user IDs and other authentication credentials, including adding new ones and modifying or deleting existing ones."
"8.1.3","8","8.1","Immediately revoke access for any terminated users.","Select a sample of users terminated in the past six
8.1.3.a months, and review current user access lists—for both local and remote access—to verify that their IDs have been deactivated or removed from the access lists.","If an employee has left the company and still has access to the network via their user account, unnecessary or malicious access to cardholder data could occur—either by the former employee or by a malicious user who exploits the old and/or unused account. To prevent unauthorized access, user credentials and other authentication methods therefore need to be revoked promptly (as soon as possible) upon the employee's departure."
"8.1.4","8","8.1","Remove/disable inactive user accounts within 90 days.","8.1.4 Observe user accounts to verify that any inactive accounts over 90 days old are either removed or disabled.","Accounts that are not used regularly are often targets of attack since it is less likely that any changes (such as a changed password) will be noticed. As such, these accounts may be more easily exploited and used to access cardholder data."
"8.1.5","8","8.1","Manage
IDs used by third parties to access, support, or maintain system components via remote access as follows: • Enabled only during the time period needed and disabled when not in use. • Monitored when in use.","8.1.5.a Interview personnel and observe processes for managing accounts used by third parties to access, support, or maintain system components to verify that accounts used for remote access are: • Disabled when not in use • Enabled only when needed by the third party, and disabled when not in use.
8.1.5.b Interview personnel and observe processes to verify","Allowing vendors to have 24/7 access into your network in case they need to support your systems increases the chances of unauthorized access, either from a user in the vendor's environment or from a malicious individual who finds and uses this always-available external entry point into your network. Enabling access only for the time periods needed, and disabling it as soon as it is no longer needed, helps prevent misuse of these connections."
"8.1.6","8","8.1","Limit repeated access attempts

by locking out the user ID after not more than six attempts.","For a sample of system components, inspect system
8.1.6.a configuration settings to verify that authentication parameters are set to require that user accounts be locked out after not more than six invalid logon attempts.","Without account-lockout mechanisms in place, an attacker can continually attempt to guess a password through manual or automated tools (for example, password cracking), until they achieve success and gain access to a user's account."
"8.1.7","8","8.1","Set the lockout duration to a

minimum of 30 minutes or until an administrator enables the user ID.","For a sample of system components, inspect system
8.1.7 configuration settings to verify that password parameters are set to require that once a user account is locked out, it remains locked for a minimum of 30 minutes or until a system administrator resets the account.","If an account is locked out due to someone continually trying to guess a password, controls to delay reactivation of these locked accounts stops the malicious individual from continually guessing the password (they will have to stop for a minimum of 30 minutes until the account is reactivated).
Additionally, if reactivation must be requested, the admin or help desk can validate that it is the actual account owner requesting reactivation."
"8.1.8","8","8.1","If a session has been idle for

more than 15 minutes, require the user to re-authenticate to re-activate the terminal or session.","For a sample of system components, inspect system
8.1.8 configuration settings to verify that system/session idle time out features have been set to 15 minutes or less.","When users walk away from an open machine with access to critical system components or cardholder data, that machine may be used by others in the user's absence, resulting in unauthorized account access and/or misuse."
"8.2","8","8.2","In addition to assigning a unique ID, ensure proper user-authentication management for non-consumer users and administrators on all system components by employing at least one of the following methods to authenticate all users: • Something you know, such as a password or passphrase • Something you have, such as a token device or smart card • Something you are, such as a biometric.
Multi-factor authentication requires
Note:
that a minimum of two of the three authentication methods (see
Requirement 8.2 for descriptions of authentication methods) be used for authentication. Using one factor twice","8.2
To verify that users are authenticated using unique ID and additional authentication (for example, a password/phrase) for access to the cardholder data environment, perform the following: • Examine documentation describing the authentication method(s) used. • For each type of authentication method used and for each type of system component, observe an authentication to verify authentication is functioning consistent with documented authentication method(s).","These authentication methods, when used in addition to unique IDs, help protect users' IDs from being compromised, since the one attempting the compromise needs to know both the unique ID and the password (or other authentication used). Note that a digital certificate is a valid option for
""something you have"" as long as it is unique for a particular user.
Since one of the first steps a malicious individual will take to compromise a system is to exploit weak or nonexistent passwords, it is important to implement good processes for authentication management.
Multi-factor authentication provides additional assurance that the individual attempting to gain access is who they claim to be.
With multi-factor authentication, an attacker would need to compromise at least two different authentication mechanisms, increasing the difficulty of compromise and thus reducing the risk."
"8.2.1","8","8.2","Using strong cryptography,

render all authentication credentials
(such as passwords/phrases)
unreadable during transmission and storage on all system components.
For a sample of system components, examine
8.2.1.b password files to verify that passwords are unreadable during storage.
8.2.1.e
Additional testing procedure for service provider
Observe data transmissions to verify that assessments only:
non-consumer customer passwords are unreadable during transmission.","8.2.1.a Examine vendor documentation and system configuration settings to verify that passwords are protected with strong cryptography during transmission and storage.
A malicious individual can easily intercept unencrypted passwords during transmission using a
""sniffer,"" or directly access unencrypted passwords in files where they are stored, and use this data to","Many network devices and applications transmit unencrypted, readable passwords across the network and/or store passwords without encryption."
"8.2.2","8","8.2","Verify user identity before

modifying any authentication credential—for example, performing password resets, provisioning new tokens, or generating new keys.","Examine authentication procedures for modifying
8.2.2 authentication credentials and observe security personnel to verify that, if a user requests a reset of an authentication credential by phone, e-mail, web, or other non-face-to-face method, the user's identity is verified before the authentication credential is modified.","Many malicious individuals use ""social engineering""—for example, calling a help desk and acting as a legitimate user—to have a password changed so they can utilize a user ID. Consider use of a ""secret question"" that only the proper user can answer to help administrators identify the user prior to re-setting or modifying authentication credentials."
"8.2.3","8","8.2","Passwords/passphrases must

meet the following: • Require a minimum length of at least seven characters. • Contain both numeric and alphabetic characters.
Alternatively, the passwords/ passphrases must have complexity and strength at least equivalent to the parameters specified above.","For a sample of system components, inspect system
8.2.3a configuration settings to verify that user password/passphrase parameters are set to require at least the following strength/complexity: • Require a minimum length of at least seven characters. • Contain both numeric and alphabetic characters.
8.2.3.b
Additional testing procedure for service provider assessments only:
Review internal processes and customer/user documentation to verify that non-consumer customer passwords/passphrases are required to meet at least the following strength/complexity: • Require a minimum length of at least seven characters. • Contain both numeric and alphabetic characters.","Strong passwords/passphrases are the first line of defense into a network since a malicious individual will often first try to find accounts with weak or non existent passwords. If passwords are short or simple to guess, it is relatively easy for a malicious individual to find these weak accounts and compromise a network under the guise of a valid user ID.
This requirement specifies that a minimum of seven characters and both numeric and alphabetic characters should be used for passwords/ passphrases. For cases where this minimum cannot be met due to technical limitations, entities can use
""equivalent strength"" to evaluate their alternative.
For information on variability and equivalency of password strength (also referred to as entropy) for passwords/passphrases of different formats, refer to industry standards (e.g., the current version of NIST
SP 800-63.)
Testing Procedure 8.2.3.b is an additional
Note:
procedure that only applies if the entity being assessed is a service provider."
"8.2.4","8","8.2","Change user

passwords/passphrases at least once every 90 days.","For a sample of system components, inspect system
8.2.4.a configuration settings to verify that user password/passphrase parameters are set to require users to change passwords at least once every 90 days.","Passwords/passphrases that are valid for a long time without a change provide malicious individuals with more time to work on breaking the password/phrase."
"8.2.5","8","8.2","Do not allow an individual to submit a new password/passphrase that is the same as any of the last four passwords/passphrases he or she has used.","8.2.5.a
For a sample of system components, obtain and inspect system configuration settings to verify that password parameters are set to require that new passwords/passphrases cannot be the same as the four previously used passwords/passphrases.","If password history isn't maintained, the effectiveness of changing passwords is reduced, as previous passwords can be reused over and over.
Requiring that passwords cannot be reused for a period of time reduces the likelihood that passwords"
"8.2.6","8","8.2","Set passwords/passphrases for first-time use and upon reset to a unique value for each user, and change immediately after the first use.","8.2.6 Examine password procedures and observe security personnel to verify that first-time passwords/passphrases for new users, and reset passwords/passphrases for existing users, are set to a unique value for each user and changed after first use.","If the same password is used for every new user, an internal user, former employee, or malicious individual may know or easily discover this password, and use it to gain access to accounts."
"8.3","8","8.3","Secure all individual non-console administrative access and all remote access to the CDE using multi-factor authentication.","","Multi-factor authentication requires an individual to present a minimum of two separate forms of authentication
(as described in Requirement 8.2), before access is granted."
"8.3.1","8","8.3","Incorporate multi-factor authentication for all non-console access into the CDE for personnel with","8.3.1.a Examine network and/or system configurations, as applicable, to verify multi-factor authentication is required for all non-console administrative access into the CDE.","This requirement is intended to apply to all personnel with administrative access to the CDE.
This requirement applies only to personnel with administrative access and only for non-console access to the CDE; it does not apply to application or system accounts performing automated functions.
If the entity does not use segmentation to separate the CDE from the rest of their network, an administrator could use multi-factor authentication either when logging onto the CDE network or when logging onto a system.
If the CDE is segmented from the rest of the entity's network, an administrator would need to use multi factor authentication when connecting to a CDE system from a non-CDE network.
Multi-factor authentication can be implemented at network level or at system/application level; it does not have to be both. If the administrator uses MFA when logging into the CDE network, they do not also need to use
MFA to log into a particular system or application within the CDE."
