"requirement_id","top_level_requirement","section_id","section_title","requirement_text","testing_procedures","customized_approach_objective","applicability_notes","purpose","good_practice","examples","definitions","further_information"
"4.2.2","4","4.2",".2 PAN is secured with strong cryptography whenever it is sent via end-user messaging technologies.","PAN is secured with strong cryptography whenever it is sent via end-user messaging technologies.","4.2.2.a
Examine documented policies and procedures to verify that processes are defined to secure PAN with strong cryptography whenever sent over end-user messaging technologies.
Examine system configurations and vendor
4.2.2.b documentation to verify that PAN is secured with strong cryptography whenever it is sent via end user messaging technologies.","Cleartext PAN cannot be read or intercepted from transmissions using end-user messaging technologies.","This requirement also applies if a customer, or other third-party, requests that PAN is sent to them via end-user messaging technologies.
There could be occurrences where an entity receives unsolicited cardholder data via an insecure communication channel that was not intended for transmissions of sensitive data. In this situation, the entity can choose to either include the channel in the scope of their CDE and secure it according to
PCI DSS or delete the cardholder data and implement measures to prevent the channel from being used for cardholder data.","End-user messaging technologies typically can be easily intercepted by packet-sniffing during delivery across internal and public networks.","The use of end-user messaging technology to send PAN should only be considered where there is a defined business need.","E-mail, instant messaging, SMS, and chat are examples of the type of end-user messaging technology that this requirement refers to.","",""
"5.1.1","5","5.1","","All security policies and operational procedures that are identified in Requirement 5 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.","Examine documentation and interview personnel to verify that security policies and operational procedures identified in Requirement 5 are managed in accordance with all elements specified in this requirement.","Expectations, controls, and oversight for meeting activities within Requirement 5 are defined and adhered to by affected personnel. All supporting activities are repeatable, consistently applied, and conform to management's intent.","","Requirement 5.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 5.
While it is important to define the specific policies or procedures called out in Requirement 5, it is equally important to ensure they are properly documented, maintained, and disseminated.","It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For this reason, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.","","Security policies define the entity's security objectives and principles. Operational procedures describe how to perform activities, and define the controls, methods, and processes that are followed to achieve the desired result in a consistent manner and in accordance with policy objectives.",""
"5.1.2","5","5.1","","Roles and responsibilities for performing

activities in Requirement 5 are documented, assigned, and understood.","Examine documentation to verify that
5.1.2.a descriptions of roles and responsibilities for performing activities in Requirement 5 are documented and assigned.
Interview personnel with responsibility for
5.1.2.b performing activities in Requirement 5 to verify that roles and responsibilities are assigned as documented and are understood.
or detected and addressed.
Defined Approach Testing Procedures
Examine system components to verify that
5.2.1.a an anti-malware solution(s) is deployed on all system components, except for those determined to not be at risk from malware based on periodic evaluations per Requirement 5.2.3.
5.2.1.b
For any system components without an anti-malware solution, examine the periodic evaluations to verify the component was evaluated and the evaluation concludes that the component is not at risk from malware.","Automated mechanisms are implemented to prevent systems from becoming an attack vector for malware.","","If roles and responsibilities are not formally assigned, networks and systems may not be properly protected from malware.","It is beneficial for entities to be aware of ""zero day"" attacks (those that exploit a previously unknown vulnerability) and consider solutions that focus on behavioral characteristics and will alert and react to unexpected behavior.","A method to document roles and responsibilities is a responsibility assignment matrix that includes who is responsible, accountable, consulted, and informed (also called a RACI matrix).
Purpose
There is a constant stream of attacks targeting newly discovered vulnerabilities in systems previously regarded as secure. Without an anti malware solution that is updated regularly, new forms of malware can be used to attack systems, disable a network, or compromise data.","System components known to be affected by malware have active malware exploits available in the real world (not only theoretical exploits).",""
"5.2.2","5","5.2","","The deployed anti-malware solution(s): • Detects all known types of malware. • Removes, blocks, or contains all known types of malware.","Examine vendor documentation and

configurations of the anti-malware solution(s) to verify that the solution: • Detects all known types of malware. • Removes, blocks, or contains all known types of malware.","Malware cannot execute or infect other system components.","","It is important to protect against all types and forms of malware to prevent unauthorized access.","Anti-malware solutions may include a combination of network-based controls, host-based controls, and endpoint security solutions. In addition to signature-based tools, capabilities used by modern anti-malware solutions include sandboxing, privilege escalation controls, and machine learning.
Solution techniques include preventing malware from getting into the network and removing or containing malware that does get into the network.","Types of malware include, but are not limited to, viruses, Trojans, worms, spyware, ransomware, keyloggers, rootkits, malicious code, scripts, and links.","",""
"5.2.3","5","5.2","","Any system components that are not at risk for

malware are evaluated periodically to include the following: • A documented list of all system components not at risk for malware. • Identification and evaluation of evolving malware threats for those system components. • Confirmation whether such system components continue to not require anti-malware protection.","Examine documented policies and
5.2.3.a procedures to verify that a process is defined for periodic evaluations of any system components that are not at risk for malware that includes all elements specified in this requirement.
5.2.3.b
Interview personnel to verify that the evaluations include all elements specified in this requirement.
5.2.3.c
Examine the list of system components identified as not at risk of malware and compare to the system components without an anti-malware solution deployed per Requirement 5.2.1 to verify that the system components match for both requirements.","The entity maintains awareness of evolving malware threats to ensure that any systems not protected from malware are not at risk of infection.","System components covered by this requirement are those for which there is no anti-malware solution deployed per Requirement 5.2.1.","Certain systems, at a given point in time, may not currently be commonly targeted or affected by malware. However, industry trends for malware can change quickly, so it is important for organizations to be aware of new malware that might affect their systems—for example, by monitoring vendor security notices and anti malware forums to determine whether its systems might be coming under threat from new and evolving malware.","If an entity determines that a particular system is not susceptible to any malware, the determination should be supported by industry evidence, vendor resources, and best practices.
The following steps can help entities during their periodic evaluations: • Identification of all system types previously determined to not require malware protection. • Review of industry vulnerability alerts and notices to determine if new threats exist for any identified system. • A documented conclusion about whether the system types remain not susceptible to malware. • A strategy to add malware protection for any system types for which malware protection has become necessary.
Trends in malware should be included in the identification of new security vulnerabilities at
Requirement 6.3.1, and methods to address new trends should be incorporated into the entity's configuration standards and protection mechanisms as needed.","","",""
"5.2.3.1","5","5.2","","The frequency of periodic evaluations of

system components identified as not at risk for malware is defined in the entity's targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.","Examine the entity's targeted risk
5.2.3.1.a analysis for the frequency of periodic evaluations of system components identified as not at risk for malware to verify the risk analysis was performed in accordance with all elements specified in
Requirement 12.3.1.","Systems not known to be at risk from malware are re-evaluated at a frequency that addresses the entity's risk.","This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Entities determine the optimum period to undertake the evaluation based on criteria such as the complexity of each entity's environment and the number of types of systems that are required to be evaluated.
5.2.3.1.b
Examine documented results of periodic evaluations of system components identified as not at risk for malware and interview personnel to verify that evaluations are performed at the frequency defined in the entity's targeted risk analysis performed for this requirement.","","","",""
"5.3.1","5","5.3","Anti-malware mechanisms and processes are active, maintained, and monitored.","The anti-malware solution(s) is kept current

via automatic updates.","Examine anti-malware solution(s)
5.3.1.a configurations, including any master installation of the software, to verify the solution is configured to perform automatic updates.
Examine system components and logs, to
5.3.1.b verify that the anti-malware solution(s) and definitions are current and have been promptly deployed","Anti-malware mechanisms can detect and address the latest malware threats.","","For an anti-malware solution to remain effective, it needs to have the latest security updates, signatures, threat analysis engines, and any other malware protections on which the solution relies.
Having an automated update process avoids burdening end users with responsibility for manually installing updates and provides greater assurance that anti-malware protection mechanisms are updated as quickly as possible after an update is released.","Anti-malware mechanisms should be updated via a trusted source as soon as possible after an update is available. Using a trusted common source to distribute updates to end-user systems helps ensure the integrity and consistency of the solution architecture.
Updates may be automatically downloaded to a central location—for example, to allow for testing—prior to being deployed to individual system components.","","",""
"5.3.2","5","5.3","","The anti-malware solution(s): • Performs periodic scans and active or real-time scans.
OR • Performs continuous behavioral analysis of systems or processes.","Examine anti-malware solution(s)
5.3.2.a configurations, including any master installation of the software, to verify the solution(s) is configured to perform at least one of the elements specified in this requirement.
Examine system components, including all
5.3.2.b operating system types identified as at risk for malware, to verify the solution(s)
is enabled in accordance with at least one of the elements specified in this requirement.
5.3.2.c
Examine logs and scan results to verify that the solution(s)
is enabled in accordance with at least one of the elements specified in this requirement.","Malware cannot complete execution.","","Periodic scans can identify malware that is present, but currently inactive, within the environment. Some malware, such as zero-day malware, can enter an environment before the scan solution is capable of detecting it.
Performing regular periodic scans or continuous behavioral analysis of systems or processes helps ensure that previously undetectable malware can be identified, removed, and investigated to determine how it gained access to the environment.","Using a combination of periodic scans
(scheduled and on-demand) and active, real-time (on-access)
scanning helps ensure that malware residing in both static and dynamic elements of the CDE is addressed. Users should also be able to run on demand scans on their systems if suspicious activity is detected – this can be useful in the early detection of malware.
Scans should include the entire file system, including all disks, memory, and start-up files and boot records (at system restart) to detect all malware upon file execution, including any software that may be resident on a system but not currently active. Scan scope should include all systems and software in the CDE, including those that are often overlooked such as email servers, web browsers, and instant messaging software.","","Active, or real-time, scanning checks files for malware upon any attempt to open, close, rename, or otherwise interact with a file, preventing the malware from being activated.",""
"5.3.2.1","5","5.3","","If periodic malware scans are performed to

meet
Requirement 5.3.2, the frequency of scans is defined in the entity's targeted risk analysis, which is performed according to all elements specified in
Requirement 12.3.1.","Examine the entity's targeted risk
5.3.2.1.a analysis for the frequency of periodic malware scans to verify the risk analysis was performed in accordance with all elements specified in
Requirement 12.3.1.
Examine documented results of periodic
5.3.2.1.b malware scans and interview personnel to verify scans are performed at the frequency defined in the entity's targeted risk analysis performed for this requirement.","Scans by the malware solution are performed at a frequency that addresses the entity's risk.","This requirement applies to entities conducting periodic malware scans to meet Requirement 5.3.2.
This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Entities can determine the optimum period to undertake periodic scans based on their own assessment of the risks posed to their environments.","","","",""
"5.3.3","5","5.3",".3 For removable electronic media, the anti malware solution(s): • Performs automatic scans of when the media is inserted, connected, or logically mounted, OR","For removable electronic media, the anti malware solution(s): • Performs automatic scans of when the media is inserted, connected, or logically mounted,
OR • Performs continuous behavioral analysis of systems or processes when the media is inserted, connected, or logically mounted.","5.3.3.a
Examine anti-malware solution(s)
configurations to verify that, for removable electronic media, the solution is configured to perform at least one of the elements specified in this requirement.
Examine system components with
5.3.3.b removable electronic media connected to verify that the solution(s)
is enabled in accordance with at least one of the elements as specified in this requirement.
Examine logs and scan results to verify that
5.3.3.c the solution(s)
is enabled in accordance with at least one of the elements specified in this requirement.
Defined Approach Testing Procedures
Examine anti-malware solution(s)
5.3.4 configurations to verify logs are enabled and retained in accordance with Requirement 10.5.1.","Historical records of anti-malware actions are immediately available and retained for at least 12 months.","This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.
Defined Approach
Requirements
Audit logs for the anti-malware solution(s)
are
5.3.4 enabled and retained in accordance with
Requirement 10.5.1.","Portable media devices are often overlooked as an entry method for malware. Attackers will often pre-load malware onto portable devices such as
USB and flash drives; connecting an infected device to a computer then triggers the malware, introducing new threats within the environment.
Purpose
It is important to track the effectiveness of the anti-malware mechanisms—for example, by confirming that updates and scans are being performed as expected, and that malware is identified and addressed. Audit logs also allow an entity to determine how malware entered the environment and track its activity when inside the entity's network.","","","",""
"5.3.5","5","5.3",".5 Anti-malware mechanisms cannot be disabled or altered by users, unless specifically documented, and authorized by management on a case-by-case basis for a limited time period.","Anti-malware mechanisms cannot be disabled or altered by users, unless specifically documented, and authorized by management on a case-by-case basis for a limited time period.","5.3.5.a
Examine anti-malware configurations, to verify that the anti-malware mechanisms cannot be disabled or altered by users.
Interview responsible personnel and
5.3.5.b observe processes to verify that any requests to disable or alter anti-malware mechanisms are specifically documented and authorized by management on a case-by-case basis for a limited time period.","Anti-malware mechanisms cannot be modified by unauthorized personnel.","Anti-malware solutions may be temporarily disabled only if there is a legitimate technical need, as authorized by management on a case-by-case basis. If anti-malware protection needs to be disabled for a specific purpose, it must be formally authorized. Additional security measures may also need to be implemented for the period during which anti-malware protection is not active.","It is important that defensive mechanisms are always running so that malware is detected in real time. Ad-hoc starting and stopping of anti malware solutions could allow malware to propagate unchecked and undetected.","Where there is a legitimate need to temporarily disable a system's anti-malware protection—for example, to support a specific maintenance activity or investigation of a technical problem— the reason for taking such action should be understood and approved by an appropriate management representative. Any disabling or altering of anti-malware mechanisms, including on administrators' own devices, should be performed by authorized personnel. It is recognized that administrators have privileges that may allow them to disable anti-malware on their own computers, but there should be alerting mechanisms in place when such software is disabled and then follow up that occurs to ensure correct processes were followed.","Additional security measures that may need to be implemented for the period during which anti malware protection is not active include disconnecting the unprotected system from the
Internet while the anti-malware protection is disabled and running a full scan once it is re enabled.","",""
"5.4.1","5","5.4","","Processes and automated mechanisms are in

place to detect and protect personnel against phishing attacks.","Observe implemented processes and

examine mechanisms to verify controls are in place to detect and protect personnel against phishing attacks.","Mechanisms are in place to protect against and mitigate risk posed by phishing attacks.","This requirement applies to the automated mechanism. It is not intended that the systems and services providing such automated mechanisms
(such as email servers) are brought into scope for
PCI DSS.
The focus of this requirement is on protecting personnel with access to system components in scope for PCI DSS.
Meeting this requirement for technical and automated controls to detect and protect personnel against phishing is not the same as Requirement
12.6.3.1 for security awareness training. Meeting this requirement does not also meet the requirement for providing personnel with security awareness training, and vice versa.
This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Technical controls can limit the number of occasions personnel have to evaluate the veracity of a communication and can also limit the effects of individual responses to phishing.","When developing anti-phishing controls, entities are encouraged to consider a combination of approaches. For example, using anti-spoofing controls such as Domain-based Message
Authentication, Reporting
&
Conformance
(DMARC), Sender Policy Framework (SPF), and
Domain Keys Identified Mail (DKIM) will help stop phishers from spoofing the entity's domain and impersonating personnel.
The deployment of technologies for blocking phishing emails and malware before they reach personnel, such as link scrubbers and server-side anti-malware, can reduce incidents and decrease the time required by personnel to check and report phishing attacks. Additionally, training personnel to recognize and report phishing emails can allow similar emails to be identified and permit them to be removed before being opened.
It is recommended (but not required) that anti phishing controls are applied across an entity's entire organization.
(continued on next page)","","",""
"6.1.1","6","6.1","","All security policies and operational

procedures that are identified in Requirement 6 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.","Examine documentation and interview

personnel to verify that security policies and operational procedures identified in Requirement 6 are managed in accordance with all elements specified in this requirement.
equally important","Expectations, controls, and oversight for meeting activities within Requirement 6 are defined and adhered to by affected personnel. All supporting activities are repeatable, consistently applied, and conform to management's intent.","","Requirement 6.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 6.
While it is important to define the specific policies or procedures called out in Requirement 6, it is to ensure they are properly documented, maintained, and disseminated.","It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For this reason, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.","","Security policies define the entity's security objectives and principles. Operational procedures describe how to perform activities, and define the controls, methods, and processes that are followed to achieve the desired result in a consistent manner and in accordance with policy objectives.",""
"6.1.2","6","6.1",".2 Roles and responsibilities for performing activities in Requirement 6 are documented, assigned, and understood.","Roles and responsibilities for performing activities in Requirement 6 are documented, assigned, and understood.","6.1.2.a
Examine documentation to verify that descriptions of roles and responsibilities for performing activities in Requirement 6 are documented and assigned.
Interview personnel responsible for
6.1.2.b performing activities in Requirement 6 to verify that roles and responsibilities are assigned as documented and are understood.","Day-to-day responsibilities for performing all the activities in Requirement 6 are allocated. Personnel are accountable for successful, continuous operation of these requirements.","","If roles and responsibilities are not formally assigned, systems will not be securely maintained, and their security level will be reduced.","Roles and responsibilities may be documented within policies and procedures or maintained within separate documents.
As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.","A method to document roles and responsibilities is a responsibility assignment matrix that includes who is responsible, accountable, consulted, and informed (also called a RACI matrix).","",""
"6.2.2","6","6.2","","Software development personnel working on

bespoke and custom software are trained at least once every 12 months as follows: • On software security relevant to their job function and development languages. • Including secure software design and secure coding techniques. • Including, if security testing tools are used, how to use the tools for detecting vulnerabilities in software.","Examine software development procedures
6.2.2.a to verify that processes are defined for training of software development personnel developing bespoke and custom software that includes all elements specified in this requirement.
Examine training records and interview
6.2.2.b personnel to verify that software development personnel working on bespoke and custom software received software security training that is relevant to their job function and development languages in accordance with all elements specified in this requirement.","Software development personnel remain knowledgeable about secure development practices; software security; and attacks against the languages, frameworks, or applications they develop. Personnel are able to access assistance and guidance when required.","","Having staff knowledgeable in secure coding methods, including techniques defined in
Requirement 6.2.4, will help minimize the number of security vulnerabilities introduced through poor coding practices.","Training for developers may be provided in-house or by third parties.
Training should include, but is not limited to, development languages in use, secure software design, secure coding techniques, use of techniques/methods for finding vulnerabilities in code, processes to prevent reintroducing previously resolved vulnerabilities, and how to use any automated security testing tools for detecting vulnerabilities in software.
As industry-accepted secure coding practices change, organizational coding practices and developer training may need to be updated to address new threats.","","",""
"6.2.3","6","6.2",".3 Bespoke and custom software is reviewed prior to being released into production or to customers, to identify and correct potential coding vulnerabilities, as follows: • Code reviews ensure code is developed according to secure coding guidelines.","Bespoke and custom software is reviewed prior to being released into production or to customers, to identify and correct potential coding vulnerabilities, as follows: • Code reviews ensure code is developed according to secure coding guidelines. • Code reviews look for both existing and emerging software vulnerabilities. • Appropriate corrections are implemented prior to release.","6.2.3.a
Examine documented software development procedures and interview responsible personnel to verify that processes are defined that require all bespoke and custom software to be reviewed in accordance with all elements specified in this requirement.
Examine evidence of changes to bespoke
6.2.3.b and custom software to verify that the code changes were reviewed in accordance with all elements specified in this requirement.","Bespoke and custom software cannot be exploited via coding vulnerabilities.","This requirement for code reviews applies to all bespoke and custom software (both internal and public-facing), as part of the system development lifecycle.
Public-facing web applications are also subject to additional controls, to address ongoing threats and vulnerabilities after implementation, as defined at
PCI DSS Requirement 6.4.
Code reviews may be performed using either manual or automated processes, or a combination of both.","Security vulnerabilities in bespoke and custom software are commonly exploited by malicious individuals to gain access to a network and compromise account data.
Vulnerable code is far more difficult and expensive to address after it has been deployed or released into production environments.
Requiring a formal review and signoff by management prior to release helps to ensure that code is approved and has been developed in accordance with policies and procedures.","The following items should be considered for inclusion in code reviews: • Searching for undocumented features (implant tools, backdoors). • Confirming that software securely uses external components' functions (libraries, frameworks, APIs, etc.). For example, if a third-party library providing cryptographic functions is used, verify that it was integrated securely. • Checking for correct use of logging to prevent sensitive data from getting into logs. • Analysis of insecure code structures that may contain potential vulnerabilities related to common software attacks identified in
Requirements 6.2.5. • Checking the application's behavior to detect logical vulnerabilities.","","",""
"6.2.3.1","6","6.2",".3.1 If manual code reviews are performed for bespoke and custom software prior to release to production, code changes are: • Reviewed by individuals other than the originating code author, and who are knowledgeable about code-review techniques and secure coding practices. • Reviewed and approved by management prior to","If manual code reviews are performed for bespoke and custom software prior to release to production, code changes are: • Reviewed by individuals other than the originating code author, and who are knowledgeable about code-review techniques and secure coding practices. • Reviewed and approved by management prior to release.","6.2.3.1.a
If manual code reviews are performed for bespoke and custom software prior to release to production, examine documented software development procedures and interview responsible personnel to verify that processes are defined for manual code reviews to be conducted in accordance with all elements specified in this requirement.
6.2.3.1.b
Examine evidence of changes to bespoke and custom software and interview personnel to verify that manual code reviews were conducted in accordance with all elements specified in this requirement.","The manual code review process cannot be bypassed and is effective at discovering security vulnerabilities.","Manual code reviews can be conducted by knowledgeable internal personnel or knowledgeable third-party personnel.
An individual that has been formally granted accountability for release control and who is neither the original code author nor the code reviewer fulfills the criteria of being management.","Having code reviewed by someone other than the original author, who is both experienced in code reviews and knowledgeable about secure coding practices, minimizes the possibility that code containing security or logic errors that could affect the security of cardholder data is released into a production environment. Requiring management approval that the code was reviewed limits the ability for the process to be bypassed.","Having a formal review methodology and review checklists has been found to improve the quality of the code review process.
Code review is a tiring process, and for this reason, it is most effective when reviewers only review small amounts of code at a time.
To maintain the effectiveness of code reviews, it is beneficial to monitor the general workload of reviewers and to have them review applications they are familiar with.
Code reviews may be performed using either manual or automated processes, or a combination of both.
Entitles that rely solely on manual code review should ensure that reviewers maintain their skills through regular training as new vulnerabilities are found, and new secure coding methods are recommended.","","","See the OWASP Code Review Guide."
"6.2.4","6","6.2","","Software engineering techniques or other

methods are defined and in use by software development personnel to prevent or mitigate common software attacks and related vulnerabilities in bespoke and custom software, including but not limited to the following: • Injection attacks, including SQL, LDAP, XPath, or other command, parameter, object, fault, or injection-type flaws. • Attacks on data and data structures, including attempts to manipulate buffers, pointers, input data, or shared data. • Attacks on cryptography usage, including attempts to exploit weak, insecure, or inappropriate cryptographic implementations, algorithms, cipher suites, or modes of operation. • Attacks on business logic, including attempts to abuse or bypass application features and functionalities through the manipulation of APIs, communication protocols and channels, client side functionality, or other system/application functions and resources. This includes cross-site scripting (XSS) and cross-site request forgery
(CSRF). • Attacks on access control mechanisms, including attempts to bypass or abuse identification, authentication, or authorization mechanisms, or attempts to exploit weaknesses in the implementation of such mechanisms. • Attacks via any
""high-risk"" vulnerabilities identified in the vulnerability identification process, as defined in Requirement 6.3.1.","Examine documented procedures and

interview responsible software development personnel to verify that software engineering techniques or other methods are defined and in use by developers of bespoke and custom software to prevent or mitigate all common software attacks as specified in this requirement.","","","Detecting or preventing common errors that result in vulnerable code as early as possible in the software development process lowers the probability that such errors make it through to production and lead to a compromise. Having formal engineering techniques and tools embedded in the development process will catch these errors early. This philosophy is sometimes called ""shifting security left.""","For both bespoke and custom software, the entity must ensure that code is developed focusing on the prevention or mitigation of common software attacks, including: • Attempts to exploit common coding vulnerabilities (bugs). • Attempts to exploit software design flaws. • Attempts to exploit implementation/configuration flaws.
Researching and documenting software engineering techniques or other methods helps to define how software developers prevent or mitigate various software attacks by features or countermeasures they build into software. This might include identification/authentication mechanisms, access control, input validation routines, etc. Developers should be familiar with different types of vulnerabilities and potential attacks and use measures to avoid potential attack vectors when developing code.
(continued on next page)","","",""
"6.3.1","6","6.3","","Security vulnerabilities are identified and

managed as follows: • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts from international and national computer emergency response teams
(CERTs). • Vulnerabilities are assigned a risk ranking based on industry best practices and consideration of potential impact. • Risk rankings identify, at a minimum, all vulnerabilities considered to be a high-risk or critical to the environment. • Vulnerabilities for bespoke and custom, and third-party software (for example operating systems and databases) are covered.","Examine policies and procedures for
6.3.1.a identifying and managing security vulnerabilities to verify that processes are defined in accordance with all elements specified in this requirement.
Interview responsible personnel, examine
6.3.1.b documentation, and observe processes to verify that security vulnerabilities are identified and managed in accordance with all elements specified in this requirement.","New system and software vulnerabilities that may impact the security of account data or the CDE are monitored, cataloged, and risk assessed.","This requirement is not achieved by, nor is it the same as, vulnerability scans performed for
Requirements 11.3.1 and 11.3.2. This requirement is for a process to actively monitor industry sources for vulnerability information and for the entity to determine the risk ranking to be associated with each vulnerability.","Classifying the risks (for example, as critical, high, medium, or low) allows organizations to identify, prioritize, and address the highest risk items more quickly and reduce the likelihood that vulnerabilities posing the greatest risk will be exploited.","Methods for evaluating vulnerabilities and assigning risk ratings will vary based on an organization's environment and risk-assessment strategy.
When an entity is assigning its risk rankings, it should consider using a formal, objective, justifiable methodology that accurately portrays the risks of the vulnerabilities pertinent to the organization and translates to an appropriate entity-assigned priority for resolution.
An organization's processes for managing vulnerabilities should be integrated with other management processes—for example, risk management, change management, patch management, incident response, application security, as well as proper monitoring and logging of these processes. This will help to ensure all vulnerabilities are properly identified and addressed. Processes should support ongoing evaluation of vulnerabilities. For example, a vulnerability initially identified as low risk could become a higher risk later. Additionally, vulnerabilities, individually considered to be low or medium risk, could collectively pose a high or critical risk if present on the same system, or if exploited on a low-risk system that could result in access to the CDE.
(continued on next page)","","",""
"6.3.2","6","6.3",".2 An inventory of bespoke and custom software, and third-party software components incorporated into bespoke and custom software is maintained to facilitate vulnerability and patch management.","An inventory of bespoke and custom software, and third-party software components incorporated into bespoke and custom software is maintained to facilitate vulnerability and patch management.","6.3.2.a
Examine documentation and interview personnel to verify that an inventory of bespoke and custom software and third-party software components incorporated into bespoke and custom vulnerabilities and patches.
software is maintained, and that the inventory is used to identify and address vulnerabilities.
Examine software documentation, including
6.3.2.b for bespoke and custom software that integrates third-party software components, and compare it to the inventory to verify that the inventory includes address known vulnerabilities is the bespoke and custom software and third-party software components.","Known vulnerabilities in third-party software components cannot be exploited in bespoke and custom software.","This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Identifying and listing all the entity's bespoke and custom software, and any third-party software that is incorporated into the entity's bespoke and custom software enables the entity to manage
Vulnerabilities in third-party components
(including libraries, APIs, etc.) embedded in an entity's software also renders those applications vulnerable to attacks. Knowing which third-party components are used in the entity's software and monitoring the availability of security patches to critical to ensuring the security of the software.","An entity's inventory should cover all payment software components and dependencies, including supported execution platforms or environments, third-party libraries, services, and other required functionalities.
There are many different types of solutions that can help with managing software inventories, such as software composition analysis tools, application discovery tools, and mobile device management.","","",""
"6.3.3","6","6.3","","All system components are protected from

known vulnerabilities by installing applicable security patches/updates as follows: • Critical or high-security patches/updates
(identified according to the risk ranking process at Requirement 6.3.1) are installed within one month of release. • All other applicable security patches/updates are installed within an appropriate time frame as determined by the entity (for example, within three months of release).","Examine policies and procedures to verify
6.3.3.a processes are defined for addressing vulnerabilities by installing applicable security patches/updates in accordance with all elements specified in this requirement.
Examine system components and related
6.3.3.b software and compare the list of installed security patches/updates to the most recent security patch/update information to verify vulnerabilities are addressed in accordance with all elements specified in this requirement.","System components cannot be compromised via the exploitation of a known vulnerability.","","New exploits are constantly being discovered, and these can permit attacks against systems that have previously been considered secure. If the most recent security patches/updates are not implemented on critical systems as soon as possible, a malicious actor can use these exploits to attack or disable a system or gain access to sensitive data.","Prioritizing security patches/updates for critical infrastructure ensures that high-priority systems and devices are protected from vulnerabilities as soon as possible after a patch is released.
An entity's patching cadence should factor in any re-evaluation of vulnerabilities and subsequent changes in the criticality of a vulnerability per
Requirement 6.3.1.
For example, a vulnerability initially identified as low risk could become a higher risk later. Additionally, vulnerabilities individually considered to be low or medium risk could collectively pose a high or critical risk if present on the same system, or if exploited on a low-risk system that could result in access to the
CDE.","","",""
"6.4.2","6","6.4","","For public-facing web applications, an

automated technical solution is deployed that continually detects and prevents web-based attacks, with at least the following: • Is installed in front of public-facing web applications and is configured to detect and prevent web-based attacks. • Actively running and up to date as applicable. • Generating audit logs. • Configured to either block web-based attacks or generate an alert that is immediately investigated.","For public-facing web applications, examine

the system configuration settings and audit logs, and interview responsible personnel to verify that prevents web-based attacks is in place in accordance with all elements specified in this requirement.","Public-facing web applications are protected in real time against malicious attacks.","This new requirement will replace Requirement
6.4.1 once its effective date is reached.
This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","When using automated technical solutions, it is important to include processes that facilitate timely responses to alerts generated by the solutions so that any detected attacks can be mitigated. Such solutions may also be used to automate mitigation, for example rate-limiting controls, which can be implemented to mitigate against brute-force attacks and enumeration attacks.","","A web application firewall (WAF), which can be either on-premise or cloud-based, installed in front of public-facing web applications to check all traffic, is an example of an automated technical solution that detects and prevents web-based attacks (for example, the attacks included in
Requirement 6.2.4). WAFs filter and block non essential traffic at the application layer. A properly configured WAF helps to prevent application-layer attacks on applications that are improperly coded or configured.","",""
