term,definition,sources,source_anchor
Data De-Identification,"The process for removing identifying information from datasets, most commonly to protect the privacy of individuals, by using methods such as data masking. Data de-identification may also be used to protect organizations, such as businesses included in statistical surveys, or other information such as the spatial location of mineral or archaeological finds or endangered species.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-de-identification
Data Discovery,"Scanning and classifying data held in Network, Endpoint, and Server.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-discovery
Data Governance,"As the organization manages data between Applications, Services, and Enterprise Information Integration activities, the need to have a well define governance model that outlines and looks for compliance on how data is massaged, transformed, and stored throughout the IT infrastructure including internal and external services (i.e., SaaS, PaaS, IaaS, ASP, or others).","Processes included in data governance include data ownership, how data should be classified, and responsibilities that data/ asset owners have for their applications and services, and the necessary controls for data throughout the lifecycle. | Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain",https://cloudsecurityalliance.org/cloud-security-glossary#data-governance
Data Historian,A centralized database located in the control system LAN supporting data archival and data analysis using statistical process control techniques.,https://www.us-cert.gov/ics/Control_System_Historian-Definition.html,https://cloudsecurityalliance.org/cloud-security-glossary#data-historian
Data Life Cycle Management,"The Data Life Cycle Management covers the following six phases: create, store, use, share, archive, and destroy. Although it is shown as a linear progression, once created, data may flow between stages without restriction, and may not pass through all stages during usefulness.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-life-cycle-management
Data Loss Prevention (DLP),"DLP refers to systems that enforce policies to safeguard critical data such as Intellectual Property and customer information and ensure it doesn’t escape from the enterprise to unintended parties. These solutions discover and classify sensitive data, define and manage policies based on content and context, monitor and enforce movement of data, as well as report, audit, and document incidents of data leakage.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-loss-prevention-dlp
Data Masking,The process of obscuring (masking) specific data elements within data stores. It ensures that sensitive data is replaced with realistic but not real data. The goal is that sensitive data are not available outside of the authorized environment.,Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-masking
Data Mining,"Data mining is the ability to drill-down on KPIs and KQIs in order to find the underlying root cause for the indicators’ results. The actual data mining task can be an automatic or semi-automatic analysis of large quantities of data to extract previously unknown interesting patterns such as groups of data records (cluster analysis), unusual records (anomaly detection), and dependencies (association rule mining). These patterns can then be seen as a kind of summary of the input data and used in further analysis or, for example, in machine learning and predictive analytics. For example, the data mining step might identify multiple groups in the data, which can then be used to obtain more accurate prediction results by a decision support system.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#data-mining
Data Obscuring,"A method of protecting fields or records of data by some form of obfuscation such as encryption. Data obscuring techniques can be used in source code, for example, to prevent reverse engineering of applications. There are also low tech solutions such as ink stamps to redact sensitive information on hard copies.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-obscuring
Data Ownership / Stewardship,"This capability manages the communications, responsibilities, and associated processes for personnel that interacts with data throughout its lifecycle. Roles associated with the data interaction include Data Owners, Asset Custodians, Data Users, Supporting Services, and Delegates.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-ownership-stewardship
Data Plane,Used for communication between software components. This communication channel may not be possible before the path has been established via the control plane.,SDP architectures separate the control of connections from the actual connections used to transfer data called the ‘data plane’. The data plane consists of two-way encrypted connections typically using mutual TLS or another mutual authentication mechanism. | https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#data-plane
Data Protection,"In the information age, data is an asset. However, most data is valuable only if it is protected. Data protection needs to cover all data lifecycle stages, data types, and data states. Data stages include create, store, access, roam, share, and retire. Data types include unstructured data such as word processing documents, structured data such as data within databases, and semi-structured data such as emails. Data states include data at rest (DAR), data in transit (DIT) (aka data in motion, data in flight), and data in use (DIU). Data Protection controls include data lifecycle management, data loss prevention, intellectual property protection with digital rights management, and cryptographic services such as key management and PKI/symmetric encryption.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-protection
Data Protection Addendum (DPA),"A DPA consists of regulatory requirements stating data security and processing terms, including disclosure, security incident notification, data transfers, use of subprocessors, and compliance with data privacy regimes (e.g., GDPR, CCPA). DPAs are good practice for any organization to eliminate ambiguity with respect to organization data handling.",Recommendations for Adopting a Cloud-Native Key Management Service with an External Key Origin : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#data-protection-addendum-dpa
Data Seeding,"A way of detecting and tracking data scraping, plagiarism, and theft is to seed the data with either easily identifiable items to trace where the data ends up or with bogus records to destroy the value of the data. For example, by inserting a record in a phone number database with an odd name, the true originator/owner could identify that bogus record if it appears in a competitor’s database.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-seeding
Data Segregation,"Data segregation is the process and controls that ensure data is segregated in a multi-tenant environment, so each tenant has access to his and only his data",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#data-segregation
Data Tagging,A data tag is a keyword or term assigned typically as a form of metadata to a piece of information. It helps describe an item and facilitates it being found again by browsing or searching.,Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-tagging
"Data at Rest Encryption (DB, File, SAN, Desktop, Mobile)",Encryption of “Data at Rest” (data recorded on storage media).,Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-at-rest-encryption-db-file-san-desktop-mobile
"Data in Transit Encryption (Transitory, Fixed)",Encryption of “Data in Transit” (data being transferred between two nodes in a network).,Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-in-transit-encryption-transitory-fixed
Data in Use Encryption (Memory),"Encryption of “Data in Use” (data in resident memory, or swap, or processor cache or disk cache, etc.).",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#data-in-use-encryption-memory
"Data, Applications, Assets, and Services (DAAS)","Data, Applications, Assets, and Services (DAAS) encompass the critical components that organizations must protect to ensure operational continuity and security. This includes sensitive data, software applications, physical and virtual assets, and essential services that support business functions.",https://www.nccoe.nist.gov/sites/default/files/2022-12/zta-nist-sp-1800-35a-preliminary-draft-2.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#data-applications-assets-and-services-daas
Database Storage,"With respect to cloud-based storage, services that offer relational and non-relational databases that are highly scalable and can handle large amounts of unstructured data",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-209.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#database-storage
Database as a Service (DBaaS),"With respect to cloud-based database solutions, when DBaaS is used, the CSP provides the database capability and the customer configures and manages the database",https://www.ibm.com/topics/dbaas,https://cloudsecurityalliance.org/cloud-security-glossary#database-as-a-service-dbaas
Database Events,"Events regarding activity within the database management systems including logins, transactions, and administrative changes.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#database-events
Database Monitoring,"This capability is a collection of database management system related events, including logins, queries, transactions, and administrative activity.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#database-monitoring
Database Virtualization,"Database virtualization is the decoupling of the database layer, which lies between the storage and application layers within the application stack. Virtualization at the database layer allows hardware resources to be extended to allow for better sharing resources between applications and users, masking of the physical location and configuration of a database from querying programs, as well as enable more scalable computing.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#database-virtualization
Databases (DBs),"Compliance testing against a collection of data that is organized so that its contents can easily be accessed, managed, and updated.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#databases-dbs
Deepfake,"Falsified or faked media generated with a machine-learning system, specifically a deep neural network.",https://www.unite.ai/what-are-deepfakes/,https://cloudsecurityalliance.org/cloud-security-glossary#deepfake
Default-drop Firewalls,Also known as: Drop-all Firewalls,"The system should drop all TCP and UDP packets and not respond to those attempts, providing no information to potential attackers that the port is being monitored. After authentication and authorization, the user is granted access to the service. | https://s3.amazonaws.com/content-production.cloudsecurityalliance/78LUxxzkrWjbh625ALBt1jk9?response-content-disposition=inline%3B%20filename%3D%22SDP_Architecture_Guide_Web.pdf%22%3B%20filename%2A%3DUTF-8%27%27SDP_Architecture_Guide_Web.pdf&response-content-type=application%2Fpdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAS6XDIRHKHO4F5SU4%2F20220906%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20220906T182512Z&X-Amz-Expires=300&X-Amz-SignedHeaders=host&X-Amz-Signature=3633d75a35c372f801c17a446ce92851ea411fb4a5ae988166a988693d4b06c3",https://cloudsecurityalliance.org/cloud-security-glossary#default-drop-firewalls
Defense-in-Depth,"Information security strategy integrating people, technology, and operations capabilities to establish variable barriers across multiple layers and missions of the organization.",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-53r5.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#defense-in-depth
Denial of Service (DoS),"The act of making a system, feature or resource unavailable for intended users. In cloud testing, denial of service often takes the form of destruction or encryption of cloud resources, disablement of accounts, credentials or users.",Cloud Penetration Testing : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#denial-of-service-dos
Deployment,"With respect to cloud deployments, an isolated environment within a cloud provider analogous to an AWS Account, an Azure Subscription, or a GCP Project.",https://nvlpubs.nist.gov/nistpubs/legacy/sp/nistspecialpublication800-145.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#deployment
Deprovisioning,"Deprovisioning refers to the process of revoking access to resources when an employee or contractor leaves an organization or their role changes. This is a critical component of the IAM domain, as it ensures that former employees do not have access to sensitive information. Deprovisioning may involve disabling accounts, revoking permissions, and removing any associated digital certificates or keys. For instance, when an employee leaves an organization, their account should be deactivated, and access to their credentials should be revoked to prevent unauthorized access.",,https://cloudsecurityalliance.org/cloud-security-glossary#deprovisioning
Design patterns,"reusable solutions to particular problems. In security, an example is IaaS log management. As with reference architectures, they can be more or less abstract or specific, even down to common implementation patterns on particular cloud platforms.",https://www.cs.ubc.ca/~gregor/teaching/papers/4+1view-architecture.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#design-patterns
Desktop 'Client' Virtualization,"Concerned with how virtual instances of the traditional desktop are created, presented and managed.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#desktop-client-virtualization
Desktops,"Desktops are the classic computer that typically sits on or under a desktop and includes a CPU, monitor, keyboard, mouse, and other peripheral devices.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#desktops
DevOps,Application of software development methodologies to infrastructure operations.,As defined in ISO 27000 and Information Security Management through Reflexive Security : CSA .,https://cloudsecurityalliance.org/cloud-security-glossary#devops
DevOps Research and Assessments (DORA) Metrics,"Four key metrics that indicate the performance of software development teams. The metrics are focused on deployment frequency, lead time for changes, change failure rate, and time to restore service.",https://docs.gitlab.com/ee/user/analytics/dora_metrics.html,https://cloudsecurityalliance.org/cloud-security-glossary#devops-research-and-assessments-dora-metrics
DevSecOps (DSO),"The integration of continuous security principles, processes, and technologies into DevOps culture, practices, and workflows.",As defined in ISO 27000 and Information Security Management through Reflexive Security : CSA .,https://cloudsecurityalliance.org/cloud-security-glossary#devsecops-dso
Developer,"A business or technology professional that builds software programs; a computer programmer (syn.) can refer to a specialist in one area of computers, or to a generalist who writes code for many kinds of software in one or more computer programming languages.","Wikipedia contributors. (2021b, August 7). Programmer. Wikipedia. https://en.wikipedia.org/wiki/ Programmer",https://cloudsecurityalliance.org/cloud-security-glossary#developer
Development Process,The Development Process must address security concerns while the solution is being built using tools like source code scanners that can locate common security flaws in the code and web application vulnerability scanners that can test if a web application can be manipulated with common techniques used by hackers.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Application Services,https://cloudsecurityalliance.org/cloud-security-glossary#development-process
Device Attestation,"The ability to provide proof that elements of the device (e.g., firmware) have not been tampered with.","SDPs should include a mechanism to prove that the proper device holds the private key and that the software running on the device can be trusted. Device attributes and contents (e.g. files, registry keys) may be used to validate the device. | https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.09082020-draft.pdf | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf",https://cloudsecurityalliance.org/cloud-security-glossary#device-attestation
Device Onboarding Process,Involves the installation of the physical device and the setup of credentials so that it can securely communicate with its target cloud or platform.,"Device onboarding for SDP entails the process of including new devices such as mobile phones, servers, and other IoT elements into an SDP. | https://media.fidoalliance.org/wp-content/uploads/2021/04/Introduction-to-FIDO-Device-Onboard-1.pdf | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf",https://cloudsecurityalliance.org/cloud-security-glossary#device-onboarding-process
Device agent / gateway-based deployment,"In this deployment model, the PEP is divided into two components that reside on the resource or as a component directly in front of a resource.",https://csrc.nist.gov/publications/detail/sp/1800-35/draft,https://cloudsecurityalliance.org/cloud-security-glossary#device-agent-gateway-based-deployment
Device application sandboxing,"Another variation of the agent/gateway deployment model is having vetted applications or processes run compartmentalized on assets. These compartments could be virtual machines, containers, or some other implementation, but the goal is the same: to protect the application or instances of applications from a possibly compromised host or other applications running on the asset.",https://csrc.nist.gov/publications/detail/sp/1800-35/draft,https://cloudsecurityalliance.org/cloud-security-glossary#device-application-sandboxing
Digital Certificate,"A Digital Certificate is an electronic document that verifies the identity of an entity and is used to establish secure communication between parties. In the IAM domain, digital certificates are commonly used for authentication and encryption purposes. They are issued by a trusted third party called a Certificate Authority (CA). For example, an organization may use digital certificates to authenticate the identity of employees accessing the network remotely or to encrypt sensitive data transmitted over the internet.",,https://cloudsecurityalliance.org/cloud-security-glossary#digital-certificate
Digital Rights Management,"DRM is a term for access control technologies used by hardware manufacturers, publishers, copyright holders, enterprises, and individuals to limit the use of digital content and devices. The term has taken on at least two meanings. One refers to technology supporting the 1998 Digital Millennium Copyright Act to protect copyrighted media, maintain royalties, and ensure artistic control. The other definition applies to enterprise rights management technologies that attempt to put security controls closer to the enterprise data itself, often in encryption and metadata that carry access control information.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#digital-rights-management
Directory Service,"A Directory Service is a centralized database that stores and manages user and device identities and their attributes, such as access permissions, roles, and credentials. It is used to simplify and streamline user authentication and authorization in the IAM domain. For example, an organization may use a directory service such as Microsoft Active Directory to manage user identities and access permissions across multiple systems.",,https://cloudsecurityalliance.org/cloud-security-glossary#directory-service
Directory Traversal,"A directory traversal occurs when you are able to traverse out of the current directory into parent directories, usually by supplying a series of “../” (dot dot slashes). Typically, directory traversal attacks allow the attacker to access or overwrite files that are not intended to be accessible.",https://www.sciencedirect.com/topics/computer-science/directory-traversal,https://cloudsecurityalliance.org/cloud-security-glossary#directory-traversal
Disaster Recovery as a Service (DRaaS),A cloud computing service model that allows an organization to back up its data and IT infrastructure in a third-party cloud computing environment from which it is possible to regain access and functionality to IT infrastructure after a disaster.,Disaster Recovery as a Service : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#disaster-recovery-as-a-service-draas
Discriminative Model,"Learn about the boundary between classes within a dataset, with the goal to identify the decision boundary between classes to apply reliable class labels to data instances. Discriminative models separate the classes in the dataset by using conditional probability, not making any assumptions about individual data points.",https://www.unite.ai/generative-vs-discriminative-machine-learning-models/,https://cloudsecurityalliance.org/cloud-security-glossary#discriminative-model
Distributed Denial-of-Service (DDoS),Involves multiple computing devices in disparate locations sending repeated requests to a server with the intent to overload it and ultimately render it inaccessible.,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1800-15.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#distributed-denial-of-service-ddos
Distribution and Segregation,"Cloud resources are spread out and isolated, like compartmentalized sections of a large warehouse. Proper distribution and segregation ensure that a breach in one area does not compromise the entire system. That said, a degree of centralization of the logs is also required to provide an overview of the entirety of the cloud estate.",https://pecb.com/article/navigating-the-network-segmentation-vs-segregation,https://cloudsecurityalliance.org/cloud-security-glossary#distribution-and-segregation
Domain Name System (DNS) Poisoning,"Results in a DNS resolver storing (i.e., caching) invalid or malicious mappings between symbolic names and IP addresses.",https://www.cs.cornell.edu/~shmat/shmat_securecomm10.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#domain-name-system-dns-poisoning
Domain Unique Identifier,"A unique reference number used as an identifier in computer software (for example GUID, 32-character hexadecimal string, used for Microsoft’s implementation of the Universally unique identifier standard.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#domain-unique-identifier
Dynamic Analysis (Fuzzing),"With respect to application pre-deployment testing, involves inputting unpredictable data into the software to identify errors and vulnerabilities that could be exploited during operation.",https://csrc.nist.gov/glossary/term/fuzz_testing,https://cloudsecurityalliance.org/cloud-security-glossary#dynamic-analysis-fuzzing
Dynamic Vulnerability Scanning,"With respect to post-deplyment testing, involves actively probing the running environment, and emulating real-world attack scenarios to identify vulnerabilities that could be exploited by malicious actors. Unlike static analysis, which examines code and configurations at rest, dynamic scanning assesses the system’s security posture in real time, providing insights into potential weaknesses that may have been missed during pre-deployment static analysis.",https://nvlpubs.nist.gov/nistpubs/Legacy/SP/nistspecialpublication800-115.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#dynamic-vulnerability-scanning
Dynamic Application Security Testing (DAST),Security testing that analyzes a running application by exercising application functionality and detecting vulnerabilities based on application behavior and response. Note 1 to entry: Also called “blackbox testing”,The Six Pillars of DevSecOps: Automation : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#dynamic-application-security-testing-dast
Dynamic Policies,"Access to resources is determined by dynamic policy—including the observable state of client identity, application/service, and the requesting asset—and may include other behavioral and environmental attributes.","Policy is the set of access rules based on attributes that an organization assigns to a subject, data asset, or application. | https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf",https://cloudsecurityalliance.org/cloud-security-glossary#dynamic-policies
Dynamic Tunnel Mode (DTM),The proposed SDP protocol and encapsulation for the IH to communicate with one or more AHs.,https://downloads.cloudsecurityalliance.org/initiatives/sdp/SDP_Specification_1.0.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#dynamic-tunnel-mode-dtm
E-Readers,A presentation modality that simulates the reading of a book or other printed material.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#e-readers
E-mail,A presentation modality that presents an in-box of messages and allows users to send new messages or organize old messages into folders. Often email is combined with calendar functions and contact management functions.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#e-mail
EMS (Energy Management System),"An energy management system (EMS) is a computer-aided tool used by power system operators to monitor, control, and carry out optimal energy management. The purpose of an EMS is to determine power generation or power demands that minimize a certain objective such as generation cost, power loss, or environmental effect.",https://www.sciencedirect.com/topics/engineering/energy-management-system,https://cloudsecurityalliance.org/cloud-security-glossary#ems-energy-management-system
ENISA Risk Management Process,"Used by organizations to establish a robust framework for managing cloud risks, integrated with their overall risk management strategy and operational practices. This approach helps mitigate specific cloud-related risks and enhances the organization’s resilience and agility in navigating the complexities of the cloud computing environment.",https://csrc.nist.gov/glossary/term/enisa,https://cloudsecurityalliance.org/cloud-security-glossary#enisa-risk-management-process
Economic Denial of Service (EDoS),"EDoS attacks exploit the elasticity of clouds, particularly auto-scaling capabilities, to inflate the billing of a cloud user until the account reaches bankruptcy or large-scale service withdrawal.",https://www.cisa.gov/news-events/news/understanding-denial-service-attacks,https://cloudsecurityalliance.org/cloud-security-glossary#economic-denial-of-service-edos
Elasticsearch,"An open-source, distributed data search and analytics engine built on Apache Lucene. You can send data in the form of JSON documents to Elasticsearch using the RESTful API or ingestion tools such as Logstash. Elasticsearch automatically stores the original document and adds a searchable reference to the document in the cluster’s index. You can then search and retrieve the document using the Elasticsearch API. Amazon provides fully managed Elasticsearch services that enables you to deploy, secure, and run Elasticsearch at scale.",Top Threats to Cloud Computing: Egregious Eleven Deep Dive : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#elasticsearch
Electronic Surveillance,"Continuous observation of an area to detect intrusion, record access and monitor movement.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#electronic-surveillance
Elevation of Privileges,"The act of leveraging a vulnerability or configuration to enable or achieve an elevation of access or privilege beyond what was intended. In cloud testing, elevation of privileges often takes the form leveraging misconfigured IAM permissions that allow escalation or permissions employed by compromised or targeted services and systems.",Cloud Penetration Testing : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#elevation-of-privileges
Email Journaling,"Monitoring the contents of email to detect data loss, malware spread, or other email-based threats. Email journaling is the processes and procedures that ensure all email traffic is recorded and preserved as required for regulatory compliance or support litigation.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#email-journaling
Email Security,"Provides control over inbound and outbound email, protecting the organization from phishing, malicious attachments, and spam, and providing business continuity options.",Defined Categories of Service 2011 : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#email-security
Emergency Changes,Changes generated to fix an issue on a production service or application.,Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#emergency-changes
Employee Awareness,"This capability will focus on the management of materials and tools associated with the process of providing awareness to ensure compliance with regulatory requirements, security policies, and risk management best practices that will ensure that the organization will have a secure, compliant, and safe working environment. Examples of this include Clean-Desk Policy, Disaster Recovery, On-Line training, PII/PHI information protection, among others.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#employee-awareness
Employee Code of Conduct,"This capability is intended to manage the lifecycle for a formal agreement between the personnel that interacts with the organization’s data, assets, and services. The code of conduct must include expected behavior relevant to the organization from the Regulatory perspective, Information Security Policies and Risk Management best practices.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#employee-code-of-conduct
Employee Identity Management,"Encryption is the process of converting plaintext into ciphertext using an algorithm and a key. It is used to protect the confidentiality of data in transit or at rest. Encryption is an essential component of the IAM domain, as it helps to prevent unauthorized access to sensitive information. For example, an organization may use encryption to protect sensitive data transmitted over the internet or stored on a device.",,https://cloudsecurityalliance.org/cloud-security-glossary#employee-identity-management
Employee Termination,"The process for ensuring that an employee exit procedure minimizes the risk of an ex-employee misusing information assets after their term of employment. The process includes access removal to electronic accounts typically, turn off VPN or external email services, etc.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#employee-termination
Employment Agreements,"All contractual agreements entered between the organization and the employees, contractors, third party users, and customers, which specify the terms and conditions of their employment or service contract before granting access to data and services, which must explicitly include the parties responsible for information security. Examples include a privacy policy, intellectual property agreements, acceptable use, website terms, and conditions.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#employment-agreements
Enclave-based deployment,"This deployment model is a variation of the device agent/gateway model. In this model, the gateway components may not reside on assets or in front of individual resources but instead reside at the boundary of a resource enclave (e.g., on-location data center).",https://csrc.nist.gov/publications/detail/sp/1800-35/draft,https://cloudsecurityalliance.org/cloud-security-glossary#enclave-based-deployment
Encryption,The process of obfuscating data using cryptographic and numerical ciphers. Transforming clear-text into cipher-text to make it unreadable.,Defined Categories of Service 2011 : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#encryption
Encryption,"Encryption is the process of converting plain text into an unreadable format using a cryptographic algorithm to protect the confidentiality, integrity and availability of data. In the context of IAM within Information Security, encryption is commonly used to protect sensitive data such as passwords, authentication tokens, and personal information stored in databases or transmitted over networks. Encryption helps to prevent unauthorized access, interception, or modification of the data by attackers or eavesdroppers. There are various encryption techniques and algorithms available, such as symmetric key encryption, asymmetric key encryption, and hashing. An example of encryption in IAM is the use of encrypted passwords. When users create an account, they are prompted to create a password. The password is then encrypted and stored in a database in an unreadable format using a strong encryption algorithm. When the user logs in, the password they enter is also encrypted and compared to the stored encrypted password. If the two encrypted values match, the user is granted access. This way, even if an attacker gains access to the database, they will not be able to read the passwords in plain text and use them to gain unauthorized access to the system.",,https://cloudsecurityalliance.org/cloud-security-glossary#encryption
Endpoint,"Computing devices used by users (e.g., desktop, tablet, smartphone).",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#endpoint
Endpoint Detection and Response (EDR),Agents that perform runtime monitoring and some support vulnerability assessment.,https://csrc.nist.gov/glossary/term/endpoint_detection_and_response,https://cloudsecurityalliance.org/cloud-security-glossary#endpoint-detection-and-response-edr
Endpoint (Data in Use),See Data in Use Encryption (DLP in this case),Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#endpoint-data-in-use
Endpoint Monitoring,Collection of events associated with end user usage of devices.,Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#endpoint-monitoring
Endpoints,Endpoints are the devices that users interact with when using an IT solution. They are called Endpoints because they are at the edge of the solution where technology meets humans.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#endpoints
Enterprise Architect,"The individual or organization responsible for strategic design recommendations. They determine, by applying their knowledge of cloud, container and microservices components to the problems of the business; the best architecture to meet the strategic needs of the business. Additionally, they develop and maintain solution roadmaps and oversee their adoption working with Developers and Operators to ensure an efficient and effective solution implementation.",Challenges in Securing Application Containers and Microservices : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#enterprise-architect
Enterprise Architecture,"Is both a methodology and a set of tools that enable security architects, enterprise architects and risk management professionals to fulfill a set of common requirements that risk managers must use to assess the operational status of internal IT security and cloud provider controls.",https://cloudsecurityalliance.org/research/working-groups/enterprise-architecture/,https://cloudsecurityalliance.org/cloud-security-glossary#enterprise-architecture
